name,compiler,type,threads,input,minor_faults,branch_misses,time,mpxerrors,dtlb_store_misses,dtlb_stores,cycles,dtlb_loads,mpxbtnum,branch_instructions,dtlb_load_misses,instructions,major_faults
streamcluster,gcc,mpx_only_write,2,test,485,2267430,0.483871421,,126,113324824,1622638496,668669274,,319800848,5182,1958191769,0
blackscholes,gcc,mpx_only_write,2,test,172,46216,0.002171724,,0,0,346176,2224612,,1513210,1792,8391322,0
bodytrack,gcc,mpx_only_write,2,test,3380,2080936,0.276558541,,8928,199985790,1881954609,822969595,,373972759,11947,4003939128,0
raytrace,gcc,mpx_only_write,2,test,218435,414395978,46.17816306,,483774,33453619020,182570519219,67735973228,,34396242199,1677132,236804962906,0
facesim,gcc,mpx_only_write,2,test,657653,52165590,4.505072322,,2972402,5468127607,26587081240,14231012535,,3024691427,249009,46331394628,0
fluidanimate,gcc,mpx_only_write,2,test,6435,105936520,1.670155367,,1184218,1214386334,12286158381,5120149587,,2307561248,162365,18185624423,0
vips,gcc,mpx_only_write,2,test,1003,165101,0.031648531,,1425,20801864,114822318,41730911,,23165350,2720,207143449,0
ferret,gcc,mpx_only_write,2,test,6252,9016743,0.147671394,,16770,82721475,982597953,376196782,,198393510,17673,1516013822,0
dedup,gcc,mpx,2,test,1080,57025,0.0075652,,0,0,2700081,4320487,,3399514,2639,13888298,0
canneal,gcc,mpx,2,test,206,180746109,17.478620986,,3148,8747734120,130270770997,26004761111,,6746763787,775116,102782361200,0
swaptions,gcc,mpx,2,test,989,283874,0.026350236,,2809,15931154,152791540,47069166,,21706713,2355,244759342,0
x264,gcc,mpx,2,test,,,,,,,,,,,,,
streamcluster,gcc,mpx,2,test,481,2403309,0.819335919,,171,118321740,4163633016,2407532209,,329933365,4993,6562371720,0
blackscholes,gcc,mpx,2,test,171,43420,0.002208323,,0,0,4388818,2225364,,1511576,2534,8396170,0
bodytrack,gcc,mpx,2,test,3382,2400257,0.473806905,,6251,459261038,3304177716,1745900164,,415255262,11800,7236314729,0
raytrace,gcc,mpx,2,test,213680,1327749199,110.882709786,,446989,87660884977,457813774712,203291922199,,50264027738,1638059,682221364575,0
facesim,gcc,mpx,2,test,657322,48997709,8.980863579,,2873962,9045913221,53291207110,28158003218,,4420703211,334552,101079968191,0
fluidanimate,gcc,mpx,2,test,6441,107536685,2.509988182,,1232781,4404409265,18011616842,9651287876,,2385738396,263315,35920245591,0
vips,gcc,mpx,2,test,1183,150225,0.039572843,,5,37220957,124026945,57834317,,23926887,3849,269191089,0
ferret,gcc,mpx,2,test,6622,8735921,0.212723283,,23883,171988371,1423626966,661484264,,186883522,46550,2469752237,0
dedup,gcc,mpx_first_field,2,test,1082,54782,0.007293831,,0,0,12496095,4186899,,3314005,4094,17223886,0
canneal,gcc,mpx_first_field,2,test,207,189059769,17.623244721,,3203,8744583563,131283442529,26012857418,,6747669983,624957,102786466877,0
swaptions,gcc,mpx_first_field,2,test,1040,258961,0.023420079,,3321,15962576,157251913,43818967,,21574336,2349,241977056,0
x264,gcc,mpx_first_field,2,test,,,,,,,,,,,,,
streamcluster,gcc,mpx_first_field,2,test,482,2423618,0.82492003,,163,114285670,4212017053,2460983356,,326540487,4247,6475201020,0
blackscholes,gcc,mpx_first_field,2,test,174,45922,0.00229151,,0,0,1408260,2232569,,1516675,1346,8423808,0
bodytrack,gcc,mpx_first_field,2,test,3381,2549733,0.474362113,,19346,453454603,3328895368,1753431503,,416309879,11508,7297170112,0
raytrace,gcc,mpx_first_field,2,test,,,,,,,,,,,,,
facesim,gcc,mpx_first_field,2,test,657388,48030967,9.163352257,,2847191,9533976098,54203350638,28860062392,,4415219437,315071,102906016243,0
fluidanimate,gcc,mpx_first_field,2,test,6435,107529754,2.510452246,,1205542,4406065509,17978093503,9655921312,,2386501794,273091,35894487620,0
vips,gcc,mpx_first_field,2,test,1183,149957,0.039756749,,8,37156237,129184830,57791497,,23839721,3169,272780091,0
ferret,gcc,mpx_first_field,2,test,,,,,,,,,,,,,
dedup,icc,native,2,test,1051,43828,0.005613309,,0,0,3401744,3327255,,2888777,2466,14499468,0
canneal,icc,native,2,test,183,122357354,15.345719901,,204,4196378263,114629162781,18464118317,,5305644001,913805,55261184349,0
swaptions,icc,native,2,test,875,181896,0.00952994,,0,0,17452256,39593926,,18170423,608,106585352,0
x264,icc,native,2,test,238,48125,0.002247089,,0,0,7147117,2330052,,1540859,0,9128211,0
streamcluster,icc,native,2,test,254,727124,0.345380865,,69,96965166,617840583,282908165,,143658572,1137,872338306,0
blackscholes,icc,native,2,test,163,36218,0.002021993,,0,0,5898161,1933924,,1342599,0,7470108,0
bodytrack,icc,native,2,test,3351,1585261,0.240410084,,4902,108496265,1666130477,638024914,,352919218,6109,3419514735,0
