name,compiler,type,threads,input,memory_writes,bndcl,instructions,mpxbtnum,bndmovmem,bndmovreg,bndstx,bndmk,bndcu,mpxerrors,memory_reads,bndldx
dealII,gcc,mpx_no_narrow_bounds,1,native,16367527399,28125628013,200425130928,,4269347408,135092998,3413899792,113947542,28125628013,,52895909005,11568818808
dealII,gcc,mpx_no_narrow_bounds_only_write,1,native,10611002780,2378604383,105536557158,,1614351203,42809435,3345345247,59201217,2378604383,,35569202082,4065663482
dealII,icc,mpx_no_narrow_bounds,1,native,6591586698,12833738956,109148325333,,3130388361,127941632,65817415,85340543,12856264918,,27705402976,4493847750
dealII,icc,mpx_no_narrow_bounds_only_write,1,native,6606339632,1375001467,79605699450,,1380850324,108629758,65182265,55679438,1375012782,,27419829498,1304534403
