name,compiler,type,threads,input,failed_requests,major_faults,complete_requests,cycles,dtlb_store_misses,sgxtime,tput,lat,branch_misses,branch_instructions,mpxerrors,num_clients,sgxmem,dtlb_load_misses,dtlb_stores,time,instructions,minor_faults,dtlb_loads,mpxbtnum
bin/httpd,icc,mpx_no_narrow_bounds,1,9,0,,346834,,,,17341.6,0.519,,,,9,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,13,0,,531528,,,,26576.26,0.489,,,,13,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,17,0,,695075,,,,34753.63,0.489,,,,17,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,21,0,,954393,,,,47719.64,0.44,,,,21,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,25,0,,1000000,,,,51040.94,0.49,,,,25,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,29,0,,966553,,,,48327.63,0.6,,,,29,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,31,0,,982498,,,,49124.81,0.631,,,,31,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,33,0,,954924,,,,47746.13,0.691,,,,33,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,35,0,,944060,,,,47202.9,0.741,,,,35,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,1,0,,30497,,,,1524.83,0.656,,,,1,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,5,0,,176925,,,,8846.25,0.565,,,,5,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,9,0,,336850,,,,16842.48,0.534,,,,9,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,13,0,,521688,,,,26084.34,0.498,,,,13,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,17,0,,696164,,,,34808.09,0.488,,,,17,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,21,0,,785108,,,,39254.95,0.535,,,,21,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,25,0,,912441,,,,45622.0,0.548,,,,25,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,29,0,,907449,,,,45372.36,0.639,,,,29,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,31,0,,902380,,,,45118.97,0.687,,,,31,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,33,0,,891558,,,,44577.64,0.74,,,,33,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,35,0,,938155,,,,46907.7,0.746,,,,35,,,,,,,,
bin/httpd,gcc,asan,1,1,0,,27482,,,,1374.07,0.728,,,,1,,,,,,,,
bin/httpd,gcc,asan,1,5,0,,181967,,,,9098.35,0.55,,,,5,,,,,,,,
bin/httpd,gcc,asan,1,9,0,,329329,,,,16466.34,0.547,,,,9,,,,,,,,
bin/httpd,gcc,asan,1,13,0,,472142,,,,23607.09,0.551,,,,13,,,,,,,,
bin/httpd,gcc,asan,1,17,0,,586963,,,,29347.9,0.579,,,,17,,,,,,,,
bin/httpd,gcc,asan,1,21,0,,856868,,,,42843.03,0.49,,,,21,,,,,,,,
bin/httpd,gcc,asan,1,25,0,,894195,,,,44709.67,0.559,,,,25,,,,,,,,
bin/httpd,gcc,asan,1,29,0,,897457,,,,44872.8,0.646,,,,29,,,,,,,,
bin/httpd,gcc,asan,1,31,0,,939816,,,,46990.79,0.66,,,,31,,,,,,,,
bin/httpd,gcc,asan,1,33,0,,922398,,,,46119.67,0.716,,,,33,,,,,,,,
bin/httpd,gcc,asan,1,35,0,,897075,,,,44853.26,0.78,,,,35,,,,,,,,
bin/httpd,clang,asan,1,1,0,,25179,,,,1258.93,0.794,,,,1,,,,,,,,
bin/httpd,clang,asan,1,5,0,,166298,,,,8314.89,0.601,,,,5,,,,,,,,
bin/httpd,clang,asan,1,9,0,,333405,,,,16670.21,0.54,,,,9,,,,,,,,
bin/httpd,clang,asan,1,13,0,,516247,,,,25812.26,0.504,,,,13,,,,,,,,
bin/httpd,clang,asan,1,17,0,,649697,,,,32484.79,0.523,,,,17,,,,,,,,
bin/httpd,clang,asan,1,21,0,,870910,,,,43545.4,0.482,,,,21,,,,,,,,
bin/httpd,clang,asan,1,25,0,,850923,,,,42546.1,0.588,,,,25,,,,,,,,
bin/httpd,clang,asan,1,29,0,,858989,,,,42949.39,0.675,,,,29,,,,,,,,
bin/httpd,clang,asan,1,31,0,,849554,,,,42477.69,0.73,,,,31,,,,,,,,
bin/httpd,clang,asan,1,33,0,,871145,,,,43556.8,0.758,,,,33,,,,,,,,
bin/httpd,clang,asan,1,35,0,,901789,,,,45089.03,0.776,,,,35,,,,,,,,
bin/httpd,gcc,asan_only_write,1,1,0,,31208,,,,1560.39,0.641,,,,1,,,,,,,,
bin/httpd,gcc,asan_only_write,1,5,0,,178918,,,,8945.9,0.559,,,,5,,,,,,,,
bin/httpd,gcc,asan_only_write,1,9,0,,328944,,,,16447.19,0.547,,,,9,,,,,,,,
bin/httpd,gcc,asan_only_write,1,13,0,,527714,,,,26385.64,0.493,,,,13,,,,,,,,
bin/httpd,gcc,asan_only_write,1,17,0,,672110,,,,33605.48,0.506,,,,17,,,,,,,,
bin/httpd,gcc,asan_only_write,1,21,0,,805965,,,,40298.01,0.521,,,,21,,,,,,,,
bin/httpd,gcc,asan_only_write,1,25,1,,900323,,,,45015.59,0.555,,,,25,,,,,,,,
bin/httpd,gcc,asan_only_write,1,29,0,,896660,,,,44832.95,0.647,,,,29,,,,,,,,
bin/httpd,gcc,asan_only_write,1,31,0,,881553,,,,44077.62,0.703,,,,31,,,,,,,,
bin/httpd,gcc,asan_only_write,1,33,0,,922777,,,,46138.84,0.715,,,,33,,,,,,,,
bin/httpd,gcc,asan_only_write,1,35,0,,921938,,,,46096.75,0.759,,,,35,,,,,,,,
bin/httpd,gcc,native,1,1,0,,31767,,,,1588.33,0.63,,,,1,,,,,,,,
bin/httpd,gcc,native,1,5,0,,194910,,,,9745.38,0.513,,,,5,,,,,,,,
bin/httpd,gcc,native,1,9,0,,345732,,,,17286.59,0.521,,,,9,,,,,,,,
bin/httpd,gcc,native,1,13,0,,567932,,,,28396.56,0.458,,,,13,,,,,,,,
bin/httpd,gcc,native,1,17,0,,733313,,,,36665.53,0.464,,,,17,,,,,,,,
bin/httpd,gcc,native,1,21,0,,978258,,,,48912.89,0.429,,,,21,,,,,,,,
bin/httpd,gcc,native,1,25,0,,1000000,,,,54501.71,0.459,,,,25,,,,,,,,
bin/httpd,gcc,native,1,29,0,,1000000,,,,55659.07,0.521,,,,29,,,,,,,,
bin/httpd,gcc,native,1,31,0,,1000000,,,,55675.7,0.557,,,,31,,,,,,,,
bin/httpd,gcc,native,1,33,0,,1000000,,,,53064.37,0.622,,,,33,,,,,,,,
bin/httpd,gcc,native,1,35,0,,1000000,,,,53050.97,0.66,,,,35,,,,,,,,
bin/httpd,icc,native,1,1,0,,28794,,,,1439.69,0.695,,,,1,,,,,,,,
bin/httpd,icc,native,1,5,0,,167823,,,,8391.09,0.596,,,,5,,,,,,,,
bin/httpd,icc,native,1,9,0,,334645,,,,16732.01,0.538,,,,9,,,,,,,,
bin/httpd,icc,native,1,13,0,,525719,,,,26285.95,0.495,,,,13,,,,,,,,
bin/httpd,icc,native,1,17,0,,672891,,,,33644.46,0.505,,,,17,,,,,,,,
bin/httpd,icc,native,1,21,0,,822409,,,,41120.34,0.511,,,,21,,,,,,,,
bin/httpd,icc,native,1,25,0,,838655,,,,41932.67,0.596,,,,25,,,,,,,,
bin/httpd,icc,native,1,29,0,,846008,,,,42300.32,0.686,,,,29,,,,,,,,
bin/httpd,icc,native,1,31,0,,837047,,,,41851.85,0.741,,,,31,,,,,,,,
bin/httpd,icc,native,1,33,0,,887666,,,,44383.2,0.744,,,,33,,,,,,,,
bin/httpd,icc,native,1,35,0,,873154,,,,43657.07,0.802,,,,35,,,,,,,,
bin/httpd,clang,native,1,1,0,,35752,,,,1787.59,0.559,,,,1,,,,,,,,
bin/httpd,clang,native,1,5,0,,182695,,,,9134.66,0.547,,,,5,,,,,,,,
bin/httpd,clang,native,1,9,0,,326539,,,,16326.93,0.551,,,,9,,,,,,,,
bin/httpd,clang,native,1,13,0,,535336,,,,26766.62,0.486,,,,13,,,,,,,,
bin/httpd,clang,native,1,17,0,,714612,,,,35730.53,0.476,,,,17,,,,,,,,
bin/httpd,clang,native,1,21,0,,880294,,,,44014.42,0.477,,,,21,,,,,,,,
bin/httpd,clang,native,1,25,0,,851612,,,,42580.58,0.587,,,,25,,,,,,,,
bin/httpd,clang,native,1,29,0,,907820,,,,45390.95,0.639,,,,29,,,,,,,,
bin/httpd,clang,native,1,31,0,,889140,,,,44456.88,0.697,,,,31,,,,,,,,
bin/httpd,clang,native,1,33,0,,926761,,,,46337.61,0.712,,,,33,,,,,,,,
bin/httpd,clang,native,1,35,0,,928967,,,,46448.34,0.754,,,,35,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,1,0,,31808,,,,1590.39,0.629,,,,1,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,5,0,,187647,,,,9382.26,0.533,,,,5,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,9,0,,344013,,,,17200.45,0.523,,,,9,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,13,0,,521056,,,,26052.78,0.499,,,,13,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,17,0,,697412,,,,34870.54,0.488,,,,17,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,21,0,,870584,,,,43529.07,0.482,,,,21,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,25,0,,956310,,,,47815.36,0.523,,,,25,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,29,0,,954131,,,,47706.54,0.608,,,,29,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,31,0,,921624,,,,46081.16,0.673,,,,31,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,33,0,,926493,,,,46324.58,0.712,,,,33,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,35,0,,908983,,,,45449.11,0.77,,,,35,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,1,0,,27158,,,,1357.87,0.736,,,,1,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,5,0,,147201,,,,7360.01,0.679,,,,5,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,9,0,,337870,,,,16893.32,0.533,,,,9,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,13,0,,525667,,,,26283.34,0.495,,,,13,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,17,0,,689249,,,,34462.27,0.493,,,,17,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,21,0,,825029,,,,41251.34,0.509,,,,21,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,25,0,,859190,,,,42959.38,0.582,,,,25,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,29,0,,881220,,,,44060.93,0.658,,,,29,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,31,0,,859346,,,,42966.98,0.721,,,,31,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,33,0,,853413,,,,42670.32,0.773,,,,33,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,35,0,,902602,,,,45129.68,0.776,,,,35,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,1,0,,29415,,,,1470.71,0.68,,,,1,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,5,0,,179031,,,,8951.43,0.559,,,,5,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,9,0,,337544,,,,16877.17,0.533,,,,9,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,13,0,,518646,,,,25932.24,0.501,,,,13,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,17,0,,664887,,,,33244.34,0.511,,,,17,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,21,0,,882317,,,,44115.83,0.476,,,,21,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,25,0,,946143,,,,47307.09,0.528,,,,25,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,29,0,,943179,,,,47158.93,0.615,,,,29,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,31,0,,926570,,,,46328.44,0.669,,,,31,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,33,0,,891337,,,,44566.8,0.74,,,,33,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,35,0,,950183,,,,47509.05,0.737,,,,35,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,1,0,,30443,,,,1522.12,0.657,,,,1,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,5,0,,177820,,,,8890.93,0.562,,,,5,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,9,0,,341671,,,,17083.52,0.527,,,,9,,,,,,,,
