"name","compiler","type","PORT_0","PORT_1","PORT_2","PORT_3","PORT_4","PORT_5","PORT_6","PORT_7"
"h264ref","icc","native"," 9.4","10.7","19.8","20.2","10.3","11.6","15.0"," 5.72"
"namd","icc","mpx","22.7","28.4","11.6","11.8"," 4.4"," 5.2","15.8"," 1.87"
"dealII","icc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"perlbench","icc","mpx","11.3","17.3","14.1","14.5","14.0","11.7","15.0"," 7.62"
"lbm","icc","mpx","22.8","24.7","10.8","10.1"," 8.0","18.9"," 3.2"," 1.70"
"soplex","icc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"povray","icc","mpx","13.7","19.0","14.6","15.0","13.6","11.9","14.3"," 8.64"
"astar","icc","mpx","13.7","23.5","15.4","15.5"," 5.4","10.9","17.2"," 3.40"
"hmmer","icc","mpx","13.3","27.3","15.2","14.6"," 2.3","12.9","14.3"," 0.46"
"xalancbmk","icc","mpx","16.6","21.6","12.3","12.5","10.0","15.2","18.8"," 5.54"
"sphinx3","icc","mpx","19.8","25.8","11.2","11.2"," 3.1","12.0","18.4"," 1.86"
"milc","icc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"libquantum","icc","mpx","15.8","20.4","10.7"," 9.8"," 6.9","21.0","19.1"," 0.67"
"bzip2","icc","mpx","16.2","22.7"," 9.9","10.1"," 8.3","14.0","18.5"," 3.36"
"gcc","icc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"gobmk","icc","mpx","13.7","22.4","11.2","11.6","10.4","12.3","17.5"," 5.04"
"omnetpp","icc","mpx","13.7","19.4","14.7","15.0","13.0","10.6","17.2"," 7.60"
"mcf","icc","mpx","18.9","28.4","17.9","18.4"," 7.3","13.6","21.0"," 3.70"
"sjeng","icc","mpx","15.3","22.9"," 9.3"," 9.6"," 6.3","15.9","19.4"," 2.53"
"h264ref","icc","mpx","13.2","19.1","14.8","15.0"," 7.2","13.7","15.7"," 4.13"
"namd","gcc","asan","15.2","14.8","10.6","10.8"," 2.7","21.1","24.1"," 1.76"
"dealII","gcc","asan","15.8","15.2","14.4","14.4"," 4.2","15.7","20.0"," 2.73"
"perlbench","gcc","asan","14.9","13.0","13.0","13.3","11.3","13.3","19.7"," 4.89"
"lbm","gcc","asan","20.0","18.7","13.5","13.6"," 9.3"," 7.6","11.8"," 6.39"
"soplex","gcc","asan","17.8","17.0","11.8","11.9"," 5.5","17.4","20.5"," 2.91"
"povray","gcc","asan","14.3","12.4","14.6","14.9","11.9","12.5","17.4"," 6.66"
"astar","gcc","asan","15.8","15.9","14.0","14.2"," 4.5","15.1","20.8"," 3.60"
"hmmer","gcc","asan","17.5","17.5","11.1","11.1"," 4.2","17.1","18.4"," 4.00"
"xalancbmk","gcc","asan","17.4","13.5","14.3","14.3"," 7.6","13.3","21.9"," 3.25"
