name,compiler,type,threads,input,mpxbtnum,mpxerrors,bndmk,bndldx,bndmovmem,bndcu,bndstx,bndcl,instructions,memory_reads,memory_writes,bndmovreg
bzip2,gcc,mpx_no_narrow_bounds,1,native,,,266885650,2715186303,4889701110,59333056245,273754895,59333056245,357488530695,52874768326,25300470889,1306222914
bzip2,gcc,mpx_no_narrow_bounds_only_write,1,native,,,18894323,1811211789,1892660417,17085093238,273754895,17085093238,225824382562,45419455504,22433284568,600703546
bzip2,icc,mpx_no_narrow_bounds,1,native,,,474139184,1361549906,2284900180,32262632385,270069371,24634964609,237665600813,40460401905,21082169187,4104259
bzip2,icc,mpx_no_narrow_bounds_only_write,1,native,,,25972619,1185853551,1405489675,15606830220,182312173,7377777625,205519508511,40689596080,21128262217,4194214
