name,compiler,type,threads,input,instructions,llc_store_misses,mpxerrors,l1_dcache_stores,l1_dcache_load_misses,llc_loads,l1_dcache_loads,l1_dcache_store_misses,llc_load_misses,llc_stores,time,mpxbtnum
gcc,gcc,native,1,None,4531229029,54318846,,665957105,167565099,38653055,1106406640,1,25239007,73009506,2.809654866,
gcc,gcc,native,1,None,4641106937,53351179,,678200220,166895817,38726843,1141583515,1,25609599,74129968,2.819964345,
gcc,gcc,native,1,None,4301856218,54328791,,670701180,168273502,38629316,1067235212,1,25180941,72171502,2.802526721,
gcc,gcc,native,1,None,4695180655,54346908,,690090804,163502178,38931551,1151977545,1,25921227,74246282,2.821805829,
libquantum,gcc,native,1,None,1643672723671,20802665,,78681976542,53858203934,5931598900,222850499488,1,3028871584,23838123,212.999561178,
libquantum,gcc,native,1,None,1641715310388,19997066,,78581660854,53958348772,5937883281,222954400721,1,3115740941,21708856,219.068665356,
libquantum,gcc,native,1,None,1642453210210,20350206,,78422164771,53915866648,5965216457,222930704180,1,3068660592,24700380,213.55049759,
libquantum,gcc,native,1,None,1644932814679,19608100,,78526434512,53941147929,5961773119,222843351195,1,3138381876,23560153,217.806687155,
libquantum,gcc,native,1,None,1642673320068,20182859,,78628365945,53869372409,5925110958,222788204791,1,3057933437,23511877,212.641397883,
milc,gcc,native,1,None,32424494224,106537509,,3610132357,925979522,286463342,8991321075,1,249628711,152536849,16.812912485,
milc,gcc,native,1,None,32298203409,83726895,,3603497706,924338622,287604624,8978295567,1,248549462,131841185,16.735797908,
milc,gcc,native,1,None,32348189549,85993228,,3614624720,929462537,287533747,8969041549,1,247815003,133884035,16.755384381,
milc,gcc,native,1,None,32374606095,85149587,,3590437844,926030909,287869245,8982395524,1,248120557,130333680,16.747861442,
milc,gcc,native,1,None,32343106517,88188504,,3611352238,925100268,287926478,8963100616,1,247679610,131081517,16.774035732,
omnetpp,gcc,native,1,None,555712796165,1336858620,,91512264998,23584242788,12093153320,150031629707,1,4686821213,2532204638,283.065726059,
omnetpp,gcc,native,1,None,555788900648,1346227523,,91500879299,23771716053,12240041004,150047002692,1,4703146046,2579630684,289.105071155,
omnetpp,gcc,native,1,None,555804382037,1306828855,,91507828905,23375268593,11862776597,150080311686,1,4684181604,2463117275,276.143057218,
omnetpp,gcc,native,1,None,555965198361,1348924473,,91504988177,23773202580,12213097540,150109558524,1,4705609595,2564338891,288.927136424,
omnetpp,gcc,native,1,None,555885071735,1289130746,,91520006206,23207793861,11656627672,150066145794,1,4684333326,2402988433,270.185049656,
sjeng,gcc,native,1,None,2291886910984,119870076,,191925682804,5011761717,1037405491,522641759956,1,750635576,179725781,339.603050214,
sjeng,gcc,native,1,None,2291756570634,87438834,,191861630397,5019520188,1038283978,522513755902,1,750014303,196628823,339.587301482,
sjeng,gcc,native,1,None,2291872653507,85077111,,191786765457,5001067663,1056325655,522600412860,1,749875376,179674311,339.581007476,
sjeng,gcc,native,1,None,2291362890590,126559734,,191814652350,4996400793,1064134353,522564213646,1,749788783,194983268,339.355727639,
sjeng,gcc,native,1,None,2291728137527,91354565,,191802626216,4994949653,1025870406,522588203615,1,749602530,168744533,339.582371366,
dealII,gcc,native,1,None,75904882052,6200224,,5467637317,480844951,30261119,25676994733,1,3061337,20783169,8.315941307,
dealII,gcc,native,1,None,76329295585,6328470,,5485148017,480069379,27709286,25808572521,1,3214190,18715754,8.311303362,
dealII,gcc,native,1,None,76218504891,4633981,,5475063724,517414047,31357764,25592241063,1,3363351,16514220,8.328211247,
dealII,gcc,native,1,None,76381876717,6508130,,5492805432,479701154,25980136,25802832292,1,3166192,18480833,8.309836153,
dealII,gcc,native,1,None,76336817480,6344607,,5491411764,478128361,27424398,25838653384,1,3208967,18415111,8.311291434,
namd,gcc,native,1,None,1127377087762,5921614,,66328981465,11815669428,123944844,258175322772,1,7518140,17659931,277.599794876,
namd,gcc,native,1,None,1127274426996,6347019,,66301828653,11798407982,118179558,258187780254,1,7494989,14208734,277.663996497,
namd,gcc,native,1,None,1127313688307,6928694,,66310425591,11821274058,116636842,258179740185,1,7470379,18099767,277.566591543,
namd,gcc,native,1,None,1127234335904,6144006,,66330817954,11806706472,112599152,258188835560,1,7508706,17967262,277.610286762,
namd,gcc,native,1,None,1127198286227,7176905,,66275506649,11808268608,95965272,258163103058,1,7697027,27890605,277.523873436,
sphinx3,gcc,native,1,None,90561045303,1087381,,2193617577,1804653062,230114510,24059968772,1,10086745,67577103,10.318045326,
sphinx3,gcc,native,1,None,90730936302,1169747,,2175838280,1805463871,239837061,24064904435,1,10128677,63773652,10.335187376,
sphinx3,gcc,native,1,None,90824236050,1227982,,2186979744,1805172802,231687639,24084160581,1,10145512,67474191,10.326328359,
sphinx3,gcc,native,1,None,90583103718,1170246,,2183218945,1809640549,247500196,24059047731,1,10339150,67889743,10.33490248,
sphinx3,gcc,native,1,None,90712280909,1259882,,2178180722,1808952544,256859667,24080222132,1,10622086,67868079,10.364948219,
soplex,gcc,native,1,None,78726200611,118470291,,6360362054,3676201197,643107449,20863857792,1,83140527,838455944,15.481446987,
soplex,gcc,native,1,None,78685998120,115515861,,6362158718,3670923414,646845254,20823165218,1,83368533,956487380,15.640638897,
soplex,gcc,native,1,None,78984644561,116911179,,6331211502,3673155777,641859113,20799744057,1,82394052,965925994,15.504383653,
soplex,gcc,native,1,None,78659630023,114660270,,6356780521,3674952933,641455741,20852043537,1,81614091,948931796,15.536338052,
soplex,gcc,native,1,None,78473593191,111394950,,6381779133,3672275247,640135497,20839835844,1,81852308,933039695,15.515116395,
astar,gcc,native,1,None,636931642651,44768497,,39817322046,17143718072,3975907159,175836386255,1,46319304,2596275282,170.856051081,
astar,gcc,native,1,None,636828961440,42230415,,39810723318,17218086970,4057277335,175869040446,1,47300940,2606894382,173.837741705,
astar,gcc,native,1,None,636745532285,45733476,,39831729642,17200513543,4001651731,175819094059,1,48372561,2679386955,174.783852925,
astar,gcc,native,1,None,636574507441,47297094,,39850973354,17220019857,4095378219,175880114754,1,50248860,2611205554,173.924975537,
astar,gcc,native,1,None,636759920470,39039789,,39842073408,17159732548,4020018678,175880748741,1,42960377,2670339118,173.400845723,
povray,gcc,native,1,None,932203808350,94805,,135831268686,20765476647,301792614,313739320102,1,9076,84304891,95.8424505,
povray,gcc,native,1,None,931596396805,91853,,135851716078,20278107810,308362587,313628325628,1,18502,61760228,97.608248637,
povray,gcc,native,1,None,931437754112,97193,,135847898540,20281239672,434784690,313503679493,1,15996,167021312,98.316057256,
povray,gcc,native,1,None,931337694792,92959,,135881314025,20264458960,402618487,313478643343,1,12892,87330804,97.893316049,
povray,gcc,native,1,None,931194228844,96035,,135824193730,20644561160,272792304,313461709793,1,18189,64437056,95.986125702,
perlbench,gcc,native,1,None,666504080382,129228187,,67263815737,1472308644,200220492,178939368330,1,19266091,219893117,55.244678122,
perlbench,gcc,native,1,None,668221321610,132642195,,67234539283,1459660900,200934485,179063917328,1,19668392,212233679,55.230369358,
perlbench,gcc,native,1,None,666925919847,130251938,,67301999317,1457487301,197002472,179169171915,1,20246779,218379206,55.26657003,
perlbench,gcc,native,1,None,667924252939,134935377,,67260750658,1446700472,199088013,179350878997,1,19883278,217237389,55.227913818,
perlbench,gcc,native,1,None,667018910490,135655892,,67284256266,1463585140,197556571,178970818551,1,19113333,218618694,55.24495575,
xalancbmk,gcc,native,1,None,589945455666,682429375,,47581493412,18987764437,1796671807,189986749663,1,87686001,1301718443,71.489465455,
xalancbmk,gcc,native,1,None,589678839002,694118515,,47410140506,19024891020,1796983716,189914140287,1,88323835,1315026760,71.094031715,
xalancbmk,gcc,native,1,None,590281220472,674765401,,47642103306,18871851389,1883007607,189965036636,1,87486986,1291697813,71.228505908,
xalancbmk,gcc,native,1,None,590258124107,660694235,,47552947244,18962031069,1751110276,189832026281,1,87883156,1293272964,71.018054199,
xalancbmk,gcc,native,1,None,590998043235,673158965,,47499743623,18946368235,1837224191,189945414505,1,87846613,1293150781,71.101735082,
h264ref,icc,native,1,None,251635114086,1282667,,27609787339,2596585590,84653196,103781078541,1,323945,84846878,27.560510353,
h264ref,icc,native,1,None,251495483371,1118016,,27601849076,2581670586,85126528,103721930248,1,306690,87743176,27.586954606,
h264ref,icc,native,1,None,251710473253,1082446,,27604416186,2537468149,85386746,103920989806,1,280763,93086428,27.580553799,
h264ref,icc,native,1,None,251573072976,1120553,,27604755317,2548007542,85740261,103820434442,1,281580,89378742,27.57923996,
h264ref,icc,native,1,None,251629397185,910611,,27567616114,2585136742,85521598,103654452910,1,324111,95676194,27.601446964,
hmmer,icc,native,1,None,1330814665118,27070,,75812626798,8168474132,55689385,531127592236,1,7785,527513808,111.061755126,
hmmer,icc,native,1,None,1330773601057,27397,,75812156895,8363162589,64626619,531102711931,1,5747,566177398,111.027022356,
hmmer,icc,native,1,None,1331036189630,356,,75818231687,8168206571,47342829,531170217567,1,1254,529033613,110.848157166,
hmmer,icc,native,1,None,1330759523217,696,,75812355828,8151447401,44271636,531135065192,1,6786,542704127,110.897351877,
hmmer,icc,native,1,None,1330946654782,508,,75820308986,8147209761,44355198,531175605632,1,7268,510731017,110.858796667,
mcf,icc,native,1,None,292989658281,318606138,,30266006235,42656895870,20976025047,101569190974,1,5416410383,841025311,240.2700913,
mcf,icc,native,1,None,293479941389,317193894,,30287150889,42605025735,20986563999,101499174261,1,5384285650,846315342,238.103258432,
mcf,icc,native,1,None,293063602738,320841864,,30210838813,42630346267,20972823185,101488067248,1,5404609283,841381286,239.381831523,
mcf,icc,native,1,None,292919145445,320264715,,30323460946,42598104834,20970730828,101403073650,1,5391797915,834283338,239.411424074,
mcf,icc,native,1,None,292901339711,324954957,,30321131401,42602300570,21017976313,101415333092,1,5396417911,883070945,239.951878495,
lbm,icc,native,1,None,1191023339580,3649611709,,124768723380,64552672483,39426256,229714392446,1,16629563,9106194605,435.953336516,
lbm,icc,native,1,None,1191091410866,3651260194,,124769423559,64551889522,39882783,229709627605,1,17818181,9108401456,435.994261943,
lbm,icc,native,1,None,1191032278216,3649778038,,124775651551,64552940985,39832195,229716291674,1,16965576,9109819849,435.932974028,
lbm,icc,native,1,None,1191013130337,3650633999,,124773648165,64550549937,39360737,229701228957,1,16396318,9107272712,436.015525169,
lbm,icc,native,1,None,1191087662424,3649023371,,124767056573,64553831080,39774872,229708150506,1,16746815,9108783965,435.917407647,
gobmk,icc,native,1,None,202248182041,39850248,,26567390583,1533446540,203682835,49886450187,1,14610343,280175885,44.242291439,
gobmk,icc,native,1,None,202386693883,43372119,,26579904340,1519924062,204645801,49904659810,1,14520676,270144959,44.223802134,
gobmk,icc,native,1,None,202522930158,40916136,,26559599987,1526755254,207571269,49929807921,1,14717848,282548351,44.218852899,
gobmk,icc,native,1,None,202487221850,44470654,,26559111334,1522424166,200504802,49956666148,1,14761750,252158411,44.211193343,
gobmk,icc,native,1,None,202379698043,44623605,,26573281741,1528438633,203096629,49903128566,1,14369483,300494386,44.232153226,
bzip2,icc,native,1,None,174408256866,9205844,,20956393939,2297922419,644898477,40217821899,1,1457743,1409494043,21.350702606,
bzip2,icc,native,1,None,176222400872,7063501,,20975351932,2287413262,645102269,40687547194,1,1679288,1382951953,21.352507486,
bzip2,icc,native,1,None,176179298729,7167741,,21006896883,2289986614,646926715,40625627512,1,1576047,1380992174,21.346083211,
bzip2,icc,native,1,None,178747209706,4730594,,21040043812,2265925752,655438825,41190504403,1,1735717,1284266388,21.354944048,
bzip2,icc,native,1,None,178231343830,4905953,,21052356996,2270514645,666975953,40816052360,1,1512065,1305264741,21.348333921,
gcc,icc,native,1,None,4894739570,49234034,,818955992,169021173,38337226,1128881335,1,25541895,70258204,2.692987902,
gcc,icc,native,1,None,4586077141,54753240,,828183566,166841023,38280739,1074376518,1,24801738,69905903,2.735436755,
gcc,icc,native,1,None,4849910533,55300479,,821621964,167497474,39153717,1126999976,1,24918832,70209326,2.724914953,
gcc,icc,native,1,None,4517341395,49870563,,812713666,169396564,38862566,1045347694,1,24439591,71013305,2.741923657,
gcc,icc,native,1,None,4573652129,54236658,,824222110,166807216,38231220,1067025173,1,24674544,70270192,2.737987261,
libquantum,icc,native,1,None,1344424517730,21471287,,103351800507,53902694750,3121729659,220723917366,1,1843942985,26769049,239.897634183,
libquantum,icc,native,1,None,1341226784838,17111357,,102929785976,53975753748,3161956166,220669720754,1,1880954571,18493425,245.369095465,
libquantum,icc,native,1,None,1343814158248,15040892,,103031437406,53886195490,3107855440,220783141585,1,1834451845,20388835,239.822626416,
libquantum,icc,native,1,None,1342567153371,20288582,,103393889300,53919818090,3157201860,220701520471,1,1879294012,27339843,245.248508606,
libquantum,icc,native,1,None,1345536590797,20786843,,103280077391,53893159152,3107057571,220753778143,1,1836177830,27476629,239.649726318,
milc,icc,native,1,None,32494023605,81782803,,3606828548,902375548,299051814,10246678163,1,252188247,130930541,14.544136713,
milc,icc,native,1,None,32653457192,82232459,,3608287841,903579288,300408923,10281392469,1,252443595,127765527,14.582173834,
milc,icc,native,1,None,32516795085,78661684,,3623349755,902329710,301368073,10234981565,1,253070897,130246951,14.484024749,
milc,icc,native,1,None,32558599754,83848338,,3571897191,905621247,300122197,10249336943,1,252963212,130200412,14.569390208,
milc,icc,native,1,None,32507209435,82380444,,3584447741,900605149,298832790,10240499091,1,252813909,129979351,14.523419223,
omnetpp,icc,native,1,None,560453522005,1285367886,,96042416371,23353287138,11968758952,170220717241,1,4752677153,2393587170,284.229321129,
omnetpp,icc,native,1,None,560556512110,1312087040,,96035753736,23755845851,12217574540,170260376266,1,4715038460,2477511355,295.578788489,
omnetpp,icc,native,1,None,560450510386,1261347924,,96028648290,23149639062,11748838160,170221178896,1,4772806793,2328531875,277.472060245,
omnetpp,icc,native,1,None,560672117977,1316127202,,96057396316,23755499099,12204308718,170260670793,1,4720214481,2480561325,295.701909998,
omnetpp,icc,native,1,None,560434070414,1241739542,,96036341510,22916917878,11545544718,170262434394,1,4791189615,2267703718,271.203611235,
sjeng,icc,native,1,None,2035639659313,110827363,,195004812218,4677204691,1047487733,504712204601,1,749466219,191294936,327.87740411,
sjeng,icc,native,1,None,2035308867290,95891369,,194989236647,4637550565,1035371381,504723818157,1,748595909,167205025,327.694213224,
sjeng,icc,native,1,None,2034852816643,93263300,,195030073734,4662089555,1035836410,504657612192,1,749462265,215918735,327.924295897,
sjeng,icc,native,1,None,2035659339266,117871370,,195032016961,4660390996,1055909710,504727592710,1,750219914,204729880,328.129393579,
sjeng,icc,native,1,None,2035736851085,67188110,,195055849527,4646566116,1039029035,504837425104,1,748658560,159836853,327.977935424,
dealII,icc,native,1,None,72091870181,4561438,,5977079430,487154894,29092295,26967203910,1,3325870,16624200,7.754338323,
dealII,icc,native,1,None,72304545553,5216302,,6005400654,481640191,28663991,27129992036,1,3363907,17378930,7.759462543,
dealII,icc,native,1,None,72293672956,5787775,,5981336845,492669645,30612475,26989099346,1,3389636,17754460,7.756586527,
dealII,icc,native,1,None,72495745528,5695123,,5993598896,485601934,29055049,27166836216,1,3444061,17439334,7.759546306,
dealII,icc,native,1,None,72334166194,5810707,,5982674929,493142286,32193122,27084934868,1,3443541,17472777,7.762182984,
namd,icc,native,1,None,1111677342183,7089787,,61405449069,12077201454,91064854,253419703460,1,4882356,20571684,142.492576003,
namd,icc,native,1,None,1111944447506,7912488,,61390448330,12093614153,68091458,253460417724,1,4690675,17891116,142.375128067,
namd,icc,native,1,None,1111874841789,7287053,,61373773747,12079107450,92370089,253436093026,1,4884716,18541573,142.480516673,
namd,icc,native,1,None,1111776733980,7534780,,61419910209,12077706174,98324660,253426678293,1,4938983,17194666,142.4572402,
namd,icc,native,1,None,1111679903631,5931582,,61417523483,12098131780,68955889,253424594055,1,4688827,17950327,142.350960571,
sphinx3,icc,native,1,None,62881770340,1336939,,2357171200,1780091480,241421126,15552243478,1,9470722,65932344,7.926525996,
sphinx3,icc,native,1,None,63206867102,1695357,,2358149637,1778877398,237598405,15606787024,1,9863584,67034313,7.92577691,
sphinx3,icc,native,1,None,63069889507,1089863,,2349306959,1772774457,234756765,15594221629,1,10935186,65278259,7.981864942,
sphinx3,icc,native,1,None,63150341775,1413801,,2364501794,1781124186,230316565,15644208810,1,9480917,65717453,7.903045697,
sphinx3,icc,native,1,None,63238546857,1636089,,2365857789,1782824449,236759271,15656700549,1,9726635,65777388,7.907686219,
soplex,icc,native,1,None,79264329579,116412660,,6948738550,3685396667,625047537,24285986936,1,79252715,953881893,15.858517721,
soplex,icc,native,1,None,79228980713,114243908,,6976923985,3680922511,623264929,24382156580,1,79155352,941324723,15.832139691,
soplex,icc,native,1,None,79323016465,118746815,,6969249721,3677454307,621661091,24381877464,1,78450908,941565505,15.758138396,
soplex,icc,native,1,None,79166355503,118172741,,6984207480,3677505961,623260242,24395971434,1,80063590,936819780,15.894583066,
soplex,icc,native,1,None,79155462096,118549243,,6979190689,3683759758,627677830,24339160039,1,79052046,944033663,15.715970571,
astar,icc,native,1,None,615609676118,58685449,,43891185318,17377191651,4102461123,177438349449,1,48350114,2696530193,165.250515165,
astar,icc,native,1,None,615390645144,60383079,,43929389598,17260417211,3937371847,177404066931,1,50530996,2625179809,160.547669846,
astar,icc,native,1,None,615516494628,62007181,,43903723754,17387207547,4086703236,177421732190,1,50420637,2710171920,165.462973229,
astar,icc,native,1,None,615417204770,36020959,,43896711420,17197007043,3929388726,177379254271,1,37774734,2667116523,161.971104227,
astar,icc,native,1,None,615539407174,57083197,,43929178021,17230696261,4029670265,177414326411,1,48283724,2614012028,160.64340866,
povray,icc,native,1,None,893520554639,93257,,125203748477,20625710211,607563132,299277739621,1,17852,102711281,111.080589902,
povray,icc,native,1,None,892667506610,93125,,125299452972,20607777382,237511623,299158308774,1,8758,66157216,110.499270461,
povray,icc,native,1,None,892439448950,90897,,125306249350,20614101122,455540034,299085719033,1,16062,87149140,110.964403268,
povray,icc,native,1,None,892809171368,92586,,125330573680,20622241827,342424099,299167121000,1,17787,61958338,110.740813913,
povray,icc,native,1,None,892704592768,84361,,125229538893,20577262439,190034319,299065430731,1,18059,29137384,110.51084902,
perlbench,icc,native,1,None,638181189193,103498085,,67321310757,1470428719,184875252,190881061633,1,17445474,147412793,53.192743939,
perlbench,icc,native,1,None,641002252334,103164561,,67324308161,1454984889,188075234,191485659841,1,17506040,141328816,53.156929819,
perlbench,icc,native,1,None,638499529739,93647295,,67287288476,1460557147,185185983,191032470509,1,16596312,151450801,53.133103943,
perlbench,icc,native,1,None,639364019671,96622870,,67257486170,1442805219,184441414,191330652229,1,17255489,146078292,53.144057112,
perlbench,icc,native,1,None,636956906334,97194412,,67271985107,1457392140,182203540,190769078271,1,16887892,153126223,53.118054572,
xalancbmk,icc,native,1,None,712073361142,634305259,,64686103679,17639577581,1608208430,209111392635,1,57714026,1367360239,80.84406953,
xalancbmk,icc,native,1,None,713029711578,621442211,,64583134454,17626471106,1631209873,209057309675,1,57695498,1370132088,80.889782952,
xalancbmk,icc,native,1,None,711836316056,628427470,,64695687258,17646127076,1568060456,208879482974,1,57695918,1360823046,80.696916863,
xalancbmk,icc,native,1,None,712753970543,638056491,,64718835621,17581907619,1634227042,209193983306,1,57995015,1380218102,80.879223037,
xalancbmk,icc,native,1,None,709651388418,622662188,,64559438770,17645010147,1634023109,208783260510,1,58512850,1381515381,80.835516148,
h264ref,clang,native,1,None,250538226323,1025920,,24217749480,2136616720,89018482,100852790979,1,303392,98286400,28.909776435,
h264ref,clang,native,1,None,250618950850,980398,,24235642089,2113607399,87974141,100673963077,1,292140,97529191,28.941170039,
h264ref,clang,native,1,None,250618187541,1257176,,24190741084,2132394748,90869082,101014129801,1,295102,111773619,28.964321086,
h264ref,clang,native,1,None,251191415657,1122762,,24203051004,2100180072,94508844,100824446932,1,270108,99544855,29.059350079,
h264ref,clang,native,1,None,250457913168,1130937,,24203967477,2119191913,87712250,100868207285,1,298629,91657125,29.033744736,
hmmer,clang,native,1,None,1843857104249,32186,,285055112244,8203068641,52553047,780517490654,1,1886,126920783,177.494067513,
hmmer,clang,native,1,None,1843850648936,65449,,285023508667,8365061013,54775536,780504929752,1,1216,116466356,179.746095549,
hmmer,clang,native,1,None,1843788020761,58861,,285033113293,8205283577,61842681,780511680201,1,8116,127158159,177.844142463,
hmmer,clang,native,1,None,1843685309066,64416,,285026057062,8228892612,46445810,780477740134,1,6724,129028575,178.389324506,
hmmer,clang,native,1,None,1843914320212,61498,,285037911866,8204804294,58706972,780524481497,1,7130,137289309,177.674056176,
mcf,clang,native,1,None,318318342405,116079968,,30746395066,41036701609,20680696903,101763610605,1,6014340928,468369394,247.599116565,
mcf,clang,native,1,None,318214104562,116901318,,30602708362,41075631837,20691475689,101708037881,1,6010128222,466324693,248.376550812,
mcf,clang,native,1,None,318061267756,114953136,,30647461466,41091944930,20669517063,101688535257,1,5994252603,465570226,247.567874322,
mcf,clang,native,1,None,318059072304,115867760,,30761973521,41082723547,20671985132,101799823602,1,5999999837,473247046,247.460270058,
mcf,clang,native,1,None,318114942774,115599468,,30660222269,41076822864,20648111041,101706374912,1,5992895088,461199811,248.02824626,
lbm,clang,native,1,None,1192365670124,3593009352,,88924306233,64541466421,40033464,200763640082,1,16680807,9065145835,384.809756834,
lbm,clang,native,1,None,1192326276905,3599135619,,88909152193,64536282737,41661920,200773043478,1,17470921,9065997640,384.833368943,
lbm,clang,native,1,None,1192452283528,3598954685,,88908742744,64538075468,39779978,200747345907,1,16353254,9061811099,384.913941039,
lbm,clang,native,1,None,1192523547004,3595359857,,88925087957,64549586121,40034871,200784811602,1,16607953,9062787160,384.807511856,
lbm,clang,native,1,None,1192469316580,3592925692,,88930178161,64536438633,40064602,200780078959,1,16607026,9053088446,384.811906414,
gobmk,clang,native,1,None,211183897342,35648777,,28883343925,1478146079,176523802,53840316493,1,14216079,218982881,45.454239821,
gobmk,clang,native,1,None,211176810157,40023631,,28876794373,1480664341,181552495,53831260577,1,14027361,223006163,45.457414396,
gobmk,clang,native,1,None,211104277091,43534892,,28899935976,1464623834,179374944,53843894323,1,13753398,233725143,45.466176794,
gobmk,clang,native,1,None,211176116814,42454104,,28911889080,1479023802,186160254,53851764799,1,13939333,241204167,45.465416784,
gobmk,clang,native,1,None,211549078531,46601262,,28923756186,1474445719,186615568,53902205386,1,14555959,267023195,45.499116051,
bzip2,clang,native,1,None,182968297486,4295902,,20967605528,2256978616,653691422,41024370478,1,1571870,1339331008,22.088286365,
bzip2,clang,native,1,None,182886166680,6435387,,20996719477,2255267754,661107886,41065735334,1,1591955,1346917880,22.098479925,
bzip2,clang,native,1,None,182874924764,6210212,,20965102930,2262285181,651995549,41018561566,1,1482047,1346028489,22.088284367,
bzip2,clang,native,1,None,182781884950,4960821,,20975057126,2252780831,650181103,41101638881,1,1462321,1330888951,22.08661383,
bzip2,clang,native,1,None,182727907577,4061342,,20977311956,2258905783,648536854,41021406465,1,1454847,1322686422,22.088253861,
gcc,clang,native,1,None,4767934896,52743253,,822720581,169442548,38152730,1098735700,1,24744453,80347957,2.806209433,
gcc,clang,native,1,None,4849158592,51505982,,800975592,166488271,38473962,1112261612,1,24823533,71250757,2.816153858,
gcc,clang,native,1,None,4797455973,52051423,,802926366,167556534,38406400,1110724224,1,25028242,74508972,2.820130711,
gcc,clang,native,1,None,4749400463,53408298,,825537282,169513998,38105252,1100893041,1,24853561,81231146,2.804383697,
gcc,clang,native,1,None,4962085637,55138159,,830089287,166926918,38033703,1155203213,1,25335109,83618799,2.790476276,
libquantum,clang,native,1,None,1382711000109,18330869,,76794650623,53907995171,10635467187,224735628062,1,5208480546,21623601,213.322219367,
