name,compiler,type,threads,input,involuntary_context_switches,mpxbtnum,voluntary_context_switches,major_faults,user_time,mpxerrors,time,minor_faults,maxsize,sys_time
libquantum,gcc,native,1,0,4,,1,0,1.4,,1.4,1692,5484,0.0
libquantum,gcc,native,1,1,18,,2,0,7.81,,7.81,3298,14716,0.0
libquantum,gcc,native,1,2,146,,1,0,73.04,,73.06,6512,51580,0.01
libquantum,gcc,native,1,3,716,,16,0,364.35,,364.51,23415,199176,0.11
libquantum,gcc,native,1,4,3602,,1,0,1886.6,,10887.22,28571,788880,0.39
libquantum,gcc,native,1,0,4,,1,0,1.41,,1.41,1692,5484,0.0
libquantum,gcc,native,1,1,18,,1,0,7.86,,7.86,3297,14716,0.0
libquantum,gcc,native,1,2,145,,1,0,73.86,,73.88,6512,51580,0.01
libquantum,gcc,native,1,3,712,,6,0,362.48,,362.61,23405,199176,0.08
libquantum,gcc,native,1,4,3601,,1,0,1887.12,,10887.68,28571,788880,0.33
libquantum,gcc,native,1,0,4,,1,0,1.41,,1.41,1692,5484,0.0
libquantum,gcc,native,1,1,18,,2,0,7.83,,7.83,3298,14716,0.0
libquantum,gcc,native,1,2,148,,1,0,73.18,,73.19,6512,51580,0.0
libquantum,gcc,native,1,3,715,,4,0,363.72,,363.86,23403,199176,0.09
libquantum,gcc,native,1,4,3605,,1,0,1886.74,,10887.37,28571,788880,0.4
libquantum,gcc,native,1,0,7,,1,0,1.41,,1.41,1692,5484,0.0
libquantum,gcc,native,1,1,19,,2,0,7.78,,7.78,3298,14716,0.0
libquantum,gcc,native,1,2,147,,1,0,73.17,,73.18,6512,51580,0.0
libquantum,gcc,native,1,3,711,,9,0,363.84,,363.99,23408,199176,0.1
libquantum,gcc,native,1,4,3601,,14,0,1885.74,,10886.37,28584,788880,0.4
libquantum,gcc,native,1,0,4,,1,0,1.41,,1.41,1692,5484,0.0
libquantum,gcc,native,1,1,20,,1,0,7.8,,7.81,3297,14716,0.0
libquantum,gcc,native,1,2,143,,1,0,73.23,,73.24,6512,51580,0.0
libquantum,gcc,native,1,3,713,,5,0,363.16,,363.33,23404,199176,0.12
libquantum,gcc,native,1,4,3612,,1,0,1888.58,,10889.19,28571,788880,0.38
bzip2,gcc,native,1,0,19,,2,0,8.47,,8.48,4412,104140,0.0
bzip2,gcc,native,1,1,35,,3,0,16.93,,16.94,4464,196324,0.0
bzip2,gcc,native,1,2,71,,7,0,33.84,,33.87,4571,380704,0.02
bzip2,gcc,native,1,3,139,,8,0,67.76,,67.8,4780,749464,0.03
bzip2,gcc,native,1,4,269,,13,0,135.5,,135.6,5199,1486984,0.07
bzip2,gcc,native,1,0,17,,1,0,8.47,,8.47,4412,104140,0.0
bzip2,gcc,native,1,1,35,,1,0,16.93,,16.94,4464,196324,0.0
bzip2,gcc,native,1,2,70,,2,0,33.85,,33.88,4570,380704,0.02
bzip2,gcc,native,1,3,138,,2,0,67.75,,67.8,4780,749464,0.04
bzip2,gcc,native,1,4,268,,2,0,135.47,,135.57,5200,1486984,0.08
bzip2,gcc,native,1,0,20,,1,0,8.47,,8.48,4412,104140,0.0
bzip2,gcc,native,1,1,34,,2,0,16.93,,16.94,4465,196324,0.0
bzip2,gcc,native,1,2,69,,1,0,33.88,,33.9,4569,380704,0.01
bzip2,gcc,native,1,3,136,,1,0,67.76,,67.8,4779,749464,0.03
bzip2,gcc,native,1,4,269,,2,0,135.49,,135.57,5200,1486984,0.06
bzip2,gcc,native,1,0,21,,1,0,8.47,,8.48,4412,104140,0.0
bzip2,gcc,native,1,1,36,,1,0,16.93,,16.94,4464,196324,0.0
bzip2,gcc,native,1,2,69,,2,0,33.87,,33.9,4570,380704,0.02
bzip2,gcc,native,1,3,132,,2,0,67.77,,67.81,4780,749464,0.03
bzip2,gcc,native,1,4,270,,1,0,135.48,,135.56,5199,1486984,0.06
bzip2,gcc,native,1,0,19,,1,0,8.46,,8.48,4412,104140,0.01
bzip2,gcc,native,1,1,38,,2,0,16.93,,16.94,4465,196324,0.01
bzip2,gcc,native,1,2,69,,1,0,33.86,,33.88,4569,380704,0.01
bzip2,gcc,native,1,3,134,,1,0,67.76,,67.8,4779,749464,0.03
bzip2,gcc,native,1,4,268,,2,0,135.48,,135.58,5200,1486984,0.08
bzip2,gcc,native,1,0,19,,1,0,8.47,,8.48,4412,104140,0.01
bzip2,gcc,native,1,1,36,,2,0,16.93,,16.94,4465,196324,0.0
bzip2,gcc,native,1,2,72,,2,0,33.88,,33.89,4570,380704,0.01
bzip2,gcc,native,1,3,133,,1,0,67.77,,67.81,4779,749464,0.03
bzip2,gcc,native,1,4,265,,2,0,135.5,,135.58,5200,1486984,0.06
bzip2,gcc,native,1,0,21,,1,0,8.47,,8.48,4412,104140,0.0
bzip2,gcc,native,1,1,37,,2,0,16.93,,16.94,4465,196324,0.0
bzip2,gcc,native,1,2,72,,2,0,33.85,,33.88,4570,380704,0.02
bzip2,gcc,native,1,3,134,,2,0,67.74,,67.79,4780,749464,0.04
bzip2,gcc,native,1,4,265,,2,0,135.5,,135.59,5200,1486984,0.07
bzip2,gcc,native,1,0,19,,1,0,8.47,,8.48,4412,104140,0.0
bzip2,gcc,native,1,1,37,,2,0,16.94,,16.95,4465,196324,0.0
bzip2,gcc,native,1,2,70,,2,0,33.94,,33.97,4570,380704,0.02
bzip2,gcc,native,1,3,136,,1,0,67.76,,67.81,4779,749464,0.04
bzip2,gcc,native,1,4,267,,1,0,135.58,,135.66,5199,1486984,0.06
bzip2,gcc,native,1,0,18,,2,0,8.48,,8.48,4413,104140,0.0
bzip2,gcc,native,1,1,35,,2,0,16.93,,16.95,4465,196324,0.01
bzip2,gcc,native,1,2,73,,2,0,33.87,,33.89,4570,380704,0.01
bzip2,gcc,native,1,3,138,,2,0,67.76,,67.8,4780,749464,0.04
bzip2,gcc,native,1,4,266,,1,0,135.49,,135.57,5199,1486984,0.06
bzip2,gcc,native,1,0,18,,1,0,8.46,,8.48,4412,104140,0.01
bzip2,gcc,native,1,1,37,,3,0,16.93,,16.94,4466,196324,0.01
