name,compiler,type,threads,input,bndmk,instructions,memory_writes,bndmovmem,mpxbtnum,bndcu,bndmovreg,bndcl,memory_reads,bndldx,mpxerrors,bndstx
sphinx3,gcc,mpx_no_narrow_bounds,1,native,1860001,181435457323,6229159409,6841992853,,27243951668,178393710,27243951668,31130817300,2462436326,,50590843
sphinx3,gcc,mpx_no_narrow_bounds_only_write,1,native,1686153,98188230403,5312661626,281965812,,944085284,11301169,944085284,25072151466,341734000,,50590413
sphinx3,icc,mpx_no_narrow_bounds,1,native,3888213,94429507056,4894914248,4085351460,,11691015893,8138256,11331916200,15488168900,1413396062,,27613921
sphinx3,icc,mpx_no_narrow_bounds_only_write,1,native,3750719,67429712606,4923527530,125065772,,658678768,31965276,677323213,15642358537,245436710,,27788804
