name,compiler,type,threads,input,instructions,mpxerrors,branch_misses,major_faults,cycles,dtlb_loads,dtlb_load_misses,dtlb_store_misses,branch_instructions,time,dtlb_stores,minor_faults,mpxbtnum
word_count,gcc,native,1,0,1987779373,,18836693,0,1890185385,468021483,221794,7599,337088400,0.498807889,319591156,3282,
word_count,gcc,native,1,1,9141438482,,107540301,0,9788789100,1955604105,19529759,94364,1740765016,2.579504009,1012544214,14385,
word_count,gcc,native,1,2,20393728727,,236890697,0,23370934700,4408588901,83697870,516145,3842609240,6.160024351,2492881456,28409,
word_count,gcc,native,1,3,35574702590,,482048802,0,42682241398,6975962675,198333250,623515,7338913106,11.248594449,3054356110,55728,
word_count,gcc,native,1,0,2013973641,,18850861,0,1897592002,462004955,220127,7386,336117944,0.500490249,319130862,3282,
word_count,gcc,native,1,1,9181738420,,107997061,0,9814087720,1943663448,19510531,101654,1749854652,2.586265722,1018286897,14384,
word_count,gcc,native,1,2,20469859175,,234395060,0,23306198430,4407186462,83794640,479617,3844477742,6.141051996,2478671117,28408,
word_count,gcc,native,1,3,35561245029,,478053670,0,42602903081,6982999933,199577578,597984,7341053482,11.225324588,3041055584,55726,
word_count,gcc,native,1,0,1998359847,,19000576,0,1895541535,464276980,211986,7543,337056238,0.500537637,320763522,3278,
word_count,gcc,native,1,1,9112250535,,107528283,0,9765084857,1949806722,19623662,101749,1744535884,2.574299815,1011271335,14383,
word_count,gcc,native,1,2,20494942817,,236269224,0,23326924847,4409361307,84501496,545557,3863573736,6.151338206,2488835326,28407,
word_count,gcc,native,1,3,35580056534,,480902151,0,42727015634,6957538814,200231268,574735,7330304793,11.258102277,3058566051,55726,
word_count,gcc,native,1,0,1984154107,,18827531,0,1888088179,469410303,214533,7044,337460566,0.49844111,319415784,3280,
word_count,gcc,native,1,1,9099850189,,107672683,0,9767636476,1952156414,19567658,103291,1739505391,2.577731061,1009254456,14384,
word_count,gcc,native,1,2,20492902827,,235007064,0,23320294324,4395985040,84341000,575314,3851394121,6.145406312,2477697225,28411,
word_count,gcc,native,1,3,35670442871,,481722039,0,42759370530,6956328831,200836603,540259,7342672358,11.273192168,3025793917,55725,
word_count,gcc,native,1,0,1993401413,,18860198,0,1891263671,465226421,209848,7806,337110127,0.499110388,321216749,3278,
word_count,gcc,native,1,1,9100477945,,107584494,0,9762063296,1954267772,19550498,107227,1740445878,2.576398139,1010247389,14385,
word_count,gcc,native,1,2,20429964236,,237021754,0,23323182870,4410756867,84291841,558893,3855363042,6.156294378,2493009830,28407,
word_count,gcc,native,1,3,35585806242,,480499190,0,42677221214,6997073998,201844769,617134,7346015246,11.245428701,3049567997,55725,
word_count,gcc,native,1,0,1928073853,,18852641,0,1873492226,471138242,220338,7520,332943588,0.498472218,319704867,3279,
word_count,gcc,native,1,1,9183724687,,108363241,0,9726724465,1933771559,19737589,101749,1760931298,2.571478584,1027383136,14385,
word_count,gcc,native,1,2,20496539015,,236007810,0,23329313069,4409389272,84168234,540334,3863436357,6.149857385,2494823895,28409,
word_count,gcc,native,1,3,35643219449,,482159077,0,42633792602,6972813684,200590331,546428,7350889195,11.243159665,3047996414,55725,
word_count,gcc,native,1,0,1984793519,,18828088,0,1890728145,468575494,212086,7349,337391820,0.498947475,319987768,3282,
word_count,gcc,native,1,1,9114542521,,107910444,0,9768032645,1947926313,19626959,87938,1747026101,2.575289273,1013216402,14382,
word_count,gcc,native,1,2,20488525039,,236037225,0,23325226546,4405657365,83615051,517228,3864942065,6.15208959,2497324672,28408,
word_count,gcc,native,1,3,35595658321,,481215326,0,42727584973,6966049943,201227030,679155,7339399800,11.258650719,3074115635,55726,
word_count,gcc,native,1,0,1930976931,,18997210,0,1876625313,471580899,223591,7186,333043689,0.498669928,318596248,3279,
