name,compiler,type,threads,input,time,sgxmem,instructions,l1_dcache_loads,llc_load_misses,sgxtime,mpxbtnum,l1_dcache_store_misses,mpxerrors,l1_dcache_load_misses,l1_dcache_stores,llc_store_misses,llc_loads,llc_stores
kmeans,gcc,asan,1,native,39.949675075,,680944208936,97549120012,2470758,,,1,,555534508,291893209,11882,125184011,418446
word_count,gcc,asan,1,native,24.787882807,,362761532151,72557887532,6563127,,,1,,1595270372,64736846754,1782678,337786859,2600496
matrix_multiply,clang,asan,1,native,8.62149987,,104452694131,26538344714,603316,,,1,,275880548,7259827155,521869,2763458,671691
pca,clang,asan,1,native,8.376348818,,129526733882,20557354955,7970687,,,1,,1132091049,118776482,7994823,24058679,10681672
kmeans,clang,asan,1,native,31.650790683,,518151635053,81933864385,1272131,,,1,,531768940,446680294,137620,121501808,386757
word_count,clang,asan,1,native,24.95865829,,357688666585,71495605851,5723035,,,1,,1516125018,64472279850,1794722,296437049,2910720
matrix_multiply,gcc,mpx_only_write,1,native,11.240724073,,107286408417,33120997442,631108,,,1,,297446712,7232201357,10804,3047716,107006
pca,gcc,mpx_only_write,1,native,10.909998869,,58383551279,10404573873,485012,,,1,,878865128,156779794,6089150,3589703,10282554
kmeans,gcc,mpx_only_write,1,native,13.757049368,,193209949239,53014093990,206687,,,1,,409152364,679719686,1611,93668762,322670
word_count,gcc,mpx_only_write,1,native,14.403170816,,45382232683,12850481882,178327608,,,1,,6396371296,10244908064,2251471,3038323321,3138281
matrix_multiply,gcc,mpx,1,native,33.594004164,,218940593602,63755167849,565891,,,1,,288884676,10644290041,14608,3717486,173486
pca,gcc,mpx,1,native,53.587303139,,379033869626,121811467195,664473,,,1,,944230898,153153039,3609540,6666287,8272185
kmeans,gcc,mpx,1,native,59.789606274,,501587689549,93168206904,5962656,,,1,,518200191,273350340,13106,131346106,443517
word_count,gcc,mpx,1,native,14.917484238,,47469460507,13492612785,200684959,,,1,,6262353039,10216041009,2459206,2983197679,5607152
matrix_multiply,icc,mpx_only_write,1,native,8.204087896,,63588566313,16338141891,637492,,,1,,296500816,7263663322,703869,2905605,84244
pca,icc,mpx_only_write,1,native,10.586253599,,54885565927,6982219097,1046181,,,1,,869723372,115376863,5201711,4576711,10173997
kmeans,icc,mpx_only_write,1,native,18.591834588,,279225567647,24886334609,49602,,,1,,380996986,305546587,1699,97899298,297234
word_count,icc,mpx_only_write,1,native,20.844693103,,73228007165,27049010268,65918825,,,1,,5590242967,16371978982,2134071,1801453553,2942108
matrix_multiply,icc,mpx,1,native,9.568776939,,73785791750,16342391875,663245,,,1,,303267929,7264209835,701599,2860485,217164
pca,icc,mpx,1,native,10.435568109,,68461746242,7001953151,1081328,,,1,,875674396,123069394,5008411,4984702,10001781
kmeans,icc,mpx,1,native,29.085820165,,336216257051,29188004888,9627756,,,1,,483564118,308705310,8558,137222116,286509
word_count,icc,mpx,1,native,22.305723156,,94487164549,30791353544,66640035,,,1,,5634702786,19166810547,2587162,1787917246,3269161
matrix_multiply,gcc,native,1,native,8.589646725,,80342640144,19700574729,616933,,,1,,300725929,7228969918,50783,2925358,103047
pca,gcc,native,1,native,10.922710473,,58253089820,7001307256,647879,,,1,,864131524,145440962,5297604,3593386,10122188
kmeans,gcc,native,1,native,13.258076431,,187766680354,48908100617,172902,,,1,,389215785,558137860,36,97271715,171642
word_count,gcc,native,1,native,6.157708014,,20331708644,4405470000,10154909,,,1,,1790340737,2470547469,1729561,846611019,2773971
matrix_multiply,icc,native,1,native,7.449887307,,53507650822,16344154747,651425,,,1,,284986195,7263612625,240464,2866659,103226
pca,icc,native,1,native,10.559275615,,54823166666,6984788493,670813,,,1,,865379503,115599023,5241591,3603128,10212512
kmeans,icc,native,1,native,18.600673059,,278996464531,24876262399,30250,,,1,,390036663,303827988,80,98566938,230310
word_count,icc,native,1,native,7.516131813,,23533401288,8120591260,5785072,,,1,,1368962411,4176669460,1827929,149479955,2238127
matrix_multiply,clang,native,1,native,7.121976523,,53264102105,16203656971,568660,,,1,,305054765,7218874469,171564,2786239,681563
pca,clang,native,1,native,8.38581292,,48101135999,6966029784,516072,,,1,,864657051,116631202,5215452,4268407,10110618
kmeans,clang,native,1,native,18.415449318,,267938336062,36654151304,91353,,,1,,390303067,341179860,68,99253229,225559
word_count,clang,native,1,native,7.538937987,,20865378842,4563127291,4637875,,,1,,1336576433,2582052279,1761931,573505443,2529524
matrix_multiply,gcc,asan,1,native,14.43908608,,199156273377,30133103214,663677,,,1,,257785166,7264405899,11020,3121629,121479
pca,gcc,asan,1,native,23.778156193,,406197891364,54320978447,6806526,,,1,,1108993671,118279162,6178086,25393993,11710815
kmeans,gcc,asan,1,native,39.966262943,,680959719050,97571095398,2612172,,,1,,554477897,286054522,175862,125979153,554673
word_count,gcc,asan,1,native,24.75820399,,363469324784,72648120414,6663232,,,1,,1592470790,64607263058,1815784,339864389,2609407
matrix_multiply,clang,asan,1,native,8.592860477,,104367053267,26524439706,612309,,,1,,275790956,7256017739,10661,2769012,635958
pca,clang,asan,1,native,8.381798112,,129513893962,20555956493,7998722,,,1,,1136039184,120657193,8662203,24256847,10643218
kmeans,clang,asan,1,native,31.652289565,,518195035479,81942344007,1150941,,,1,,532023676,448011179,1860,120950283,309306
word_count,clang,asan,1,native,24.95848133,,357942776511,71587771326,5600461,,,1,,1521121848,64513430647,1783815,298202601,2786004
matrix_multiply,gcc,mpx_only_write,1,native,11.216034178,,107245484893,33104265152,625598,,,1,,290046918,7228264403,528921,2903628,109661
pca,gcc,mpx_only_write,1,native,10.925268621,,58326283820,10400044674,582134,,,1,,878031515,159166644,6226524,3678684,10080960
kmeans,gcc,mpx_only_write,1,native,13.833350739,,193053519222,52945090297,535761,,,1,,411447999,680450601,1301,93799116,401673
word_count,gcc,mpx_only_write,1,native,14.683343241,,45257821942,12853599547,201152643,,,1,,6400451419,10287969429,2501727,3063706639,6172451
matrix_multiply,gcc,mpx,1,native,33.564664172,,218945610422,63756268291,619145,,,1,,291017213,10649048391,12249,3724560,187968
pca,gcc,mpx,1,native,53.59170469,,379105988720,121842075204,737244,,,1,,945910147,159708776,3186971,7094229,8643529
kmeans,gcc,mpx,1,native,59.987003676,,501500875613,93161625075,9651693,,,1,,500323074,272923408,24567,132422258,424020
word_count,gcc,mpx,1,native,14.697054182,,47253964454,13472661652,181429846,,,1,,6287427242,10275220785,2254119,2964673830,5512610
matrix_multiply,icc,mpx_only_write,1,native,8.19119062,,63638113840,16350362777,627411,,,1,,291969279,7264521972,12035,3046516,100369
pca,icc,mpx_only_write,1,native,10.587182511,,54856125487,6984710889,749205,,,1,,869806791,116999660,4847644,4559310,10167611
kmeans,icc,mpx_only_write,1,native,18.598613732,,279188192828,24888460021,180067,,,1,,381342127,305611484,584,98199994,202589
word_count,icc,mpx_only_write,1,native,20.932333402,,73579807989,27141335049,68889757,,,1,,5602956988,16351693487,1882471,1796848594,3044183
matrix_multiply,icc,mpx,1,native,9.567083721,,73778908684,16348410720,673920,,,1,,300169003,7268720186,76347,2955537,75736
pca,icc,mpx,1,native,10.412302236,,68405571737,6997362575,763099,,,1,,875239646,123081534,5111465,4121572,9971954
kmeans,icc,mpx,1,native,28.878253312,,336072380048,29171477993,5653030,,,1,,491102601,305736739,7519,137444908,365735
word_count,icc,mpx,1,native,22.674274016,,94329317186,30757994183,76230460,,,1,,5621122941,19163963850,1929158,1798655774,2731568
matrix_multiply,gcc,native,1,native,8.582601744,,80374546643,19716505260,599471,,,1,,304093652,7228182789,11972,2924470,91505
pca,gcc,native,1,native,10.915805741,,58286792900,7007061019,691193,,,1,,864200668,145466086,5132138,3566573,10136856
kmeans,gcc,native,1,native,13.250781745,,187894872725,48984703245,1210,,,1,,384903034,558164097,104,96031653,202356
word_count,gcc,native,1,native,6.159403201,,20299073625,4401364871,10192638,,,1,,1794577701,2477801339,1726961,845276969,2761745
matrix_multiply,icc,native,1,native,7.439268358,,53418761931,16324740612,681369,,,1,,304368243,7261560153,10100,3004970,93708
pca,icc,native,1,native,10.561135982,,54829383574,6984590214,662164,,,1,,865347405,115653761,5039268,3583719,10155260
kmeans,icc,native,1,native,18.607408946,,278915479358,24865898156,125880,,,1,,388929941,301044711,40,98757389,208884
word_count,icc,native,1,native,7.525347517,,23480595485,8008738599,5730713,,,1,,1357487359,4149751227,1796159,150620147,2437238
matrix_multiply,clang,native,1,native,7.111555319,,53386588683,16236690057,647124,,,1,,297855312,7229463639,11966,2922889,64385
pca,clang,native,1,native,8.383409984,,48079913985,6971774998,494398,,,1,,864465356,116906825,5156988,4254046,10176034
kmeans,clang,native,1,native,18.418006772,,267913586161,36649234903,155694,,,1,,390293794,341087647,1009,99130038,152690
word_count,clang,native,1,native,7.516913254,,21026101514,4586954440,4640927,,,1,,1326343259,2525835195,1776775,566724882,2585626
matrix_multiply,gcc,asan,1,native,14.468504609,,199301446929,30137679115,697288,,,1,,265519377,7268855944,366841,3006761,121451
pca,gcc,asan,1,native,23.78250894,,406233117846,54332951474,7339451,,,1,,1106514560,114674126,6072181,24947360,11162533
kmeans,gcc,asan,1,native,39.937832339,,681251062696,97577211607,2165426,,,1,,554485044,285717539,37910,125696202,371701
word_count,gcc,asan,1,native,24.7514371,,363500299243,72657009796,6628452,,,1,,1592878035,64646791249,1749908,337825746,2482109
matrix_multiply,clang,asan,1,native,8.627021232,,104293284628,26512186882,615451,,,1,,284941176,7255427240,12631,2787709,457422
pca,clang,asan,1,native,8.370482597,,129262016864,20526117535,7887231,,,1,,1124897740,114591958,9060755,24172499,11300920
kmeans,clang,asan,1,native,31.841953882,,518086996728,81935756421,3471930,,,1,,523577838,444059782,139088,123483174,420090
word_count,clang,asan,1,native,24.955285263,,358227432108,71613046967,5574454,,,1,,1523581024,64612203348,1881118,298928369,2862756
matrix_multiply,gcc,mpx_only_write,1,native,11.200724811,,107300364058,33105438451,517923,,,1,,302493665,7227939206,10706,3085528,110047
pca,gcc,mpx_only_write,1,native,11.004412264,,58364565825,10405884326,922186,,,1,,876717979,157033705,6021754,4488771,10143924
kmeans,gcc,mpx_only_write,1,native,13.737442283,,193004275968,52922835882,54613,,,1,,423209208,680932860,1200,93732019,376416
word_count,gcc,mpx_only_write,1,native,14.320448506,,45193097399,12856105024,178440212,,,1,,6402289748,10273698081,2149545,3033893689,5734887
matrix_multiply,gcc,mpx,1,native,33.566538744,,218938918030,63748625127,626568,,,1,,300570680,10651049256,12812,3733499,179991
pca,gcc,mpx,1,native,53.581461322,,379082626248,121826466067,595304,,,1,,945751698,151842536,4074774,6432736,8269864
kmeans,gcc,mpx,1,native,59.776541983,,501603183826,93186345564,6039067,,,1,,516484253,275688020,12362,131017091,295284
word_count,gcc,mpx,1,native,14.658891269,,47332518862,13445612093,178578570,,,1,,6283008467,10262095940,2266552,2955180850,5696530
matrix_multiply,icc,mpx_only_write,1,native,8.193044499,,63651395114,16350224798,628294,,,1,,298181397,7264043160,10636,3027881,63768
pca,icc,mpx_only_write,1,native,10.593475456,,54853191284,6987009363,1027357,,,1,,869171382,119450616,5006306,4760185,10112760
kmeans,icc,mpx_only_write,1,native,18.589796221,,279243580608,24887180130,302343,,,1,,380767126,305687445,148,98472532,276953
