name,compiler,type,threads,input,mpxbtnum,mpxerrors,instructions:u,mpx_new_bounds_table ,time,instructions:k,instructions
histogram,icc,native,1,None,,,4690942181,0,0.719749578,193578330,4884520511
kmeans,icc,native,1,None,,,279045025571,0,18.693973903,25733168,279070758739
pca,gcc,mpx,1,None,,,379058758473,2,53.651845775,105259638,379164018111
matrix_multiply,gcc,mpx,1,None,,,199943487795,1,33.675921666,19041427797,218984915592
string_match,gcc,mpx,1,None,,,45241214335,1,5.094710462,81634898,45322849233
word_count,gcc,mpx,1,None,,,47155916866,7,15.595419954,112183148,47268100014
linear_regression,gcc,mpx,1,None,,,9497406704,1,1.381241848,77659194,9575065898
histogram,gcc,mpx,1,None,,,21566995603,1,2.406481666,195778916,21762774519
kmeans,gcc,mpx,1,None,,,501640854541,2,60.231873069,72135018,501712989559
pca,gcc,mpx_only_write,1,None,,,58351761935,2,10.940184673,59130616,58410892551
matrix_multiply,gcc,mpx_only_write,1,None,,,88330162902,1,11.277617006,19015525298,107345688200
string_match,gcc,mpx_only_write,1,None,,,39667422594,1,4.15943864,80644790,39748067384
word_count,gcc,mpx_only_write,1,None,,,45214043831,7,15.355506556,112294686,45326338517
linear_regression,gcc,mpx_only_write,1,None,,,3920300012,1,0.553936313,76746394,3997046406
histogram,gcc,mpx_only_write,1,None,,,12191994987,1,1.086113303,194364724,12386359711
kmeans,gcc,mpx_only_write,1,None,,,193108682490,2,13.846279293,22055590,193130738080
pca,gcc,mpx_no_narrow_bounds,1,None,,,379058758788,2,53.651494925,97041583,379155800371
matrix_multiply,gcc,mpx_no_narrow_bounds,1,None,,,199943487783,1,33.67263563,19040690659,218984178442
string_match,gcc,mpx_no_narrow_bounds,1,None,,,45241214304,1,5.080670093,81658640,45322872944
word_count,gcc,mpx_no_narrow_bounds,1,None,,,47155916947,7,15.540568626,112013226,47267930173
linear_regression,gcc,mpx_no_narrow_bounds,1,None,,,9497406801,1,1.381110791,77663815,9575070616
histogram,gcc,mpx_no_narrow_bounds,1,None,,,21566995443,1,2.406262529,195803539,21762798982
kmeans,gcc,mpx_no_narrow_bounds,1,None,,,501640854658,2,60.263285622,72581729,501713436387
pca,gcc,mpx_no_narrow_bounds_only_write,1,None,,,58351762049,2,10.94926225,59174250,58410936299
matrix_multiply,gcc,mpx_no_narrow_bounds_only_write,1,None,,,88330162556,1,11.26321966,19015587057,107345749613
string_match,gcc,mpx_no_narrow_bounds_only_write,1,None,,,39667422820,1,4.163910097,80651703,39748074523
word_count,gcc,mpx_no_narrow_bounds_only_write,1,None,,,45214043855,7,15.364843865,112396520,45326440375
linear_regression,gcc,mpx_no_narrow_bounds_only_write,1,None,,,3920299892,1,0.554031127,76735290,3997035182
histogram,gcc,mpx_no_narrow_bounds_only_write,1,None,,,12191994968,1,1.093621747,194358723,12386353691
kmeans,gcc,mpx_no_narrow_bounds_only_write,1,None,,,193108682261,2,13.833765433,22006572,193130688833
pca,icc,mpx,1,None,,,68422216992,2,10.467245795,59079554,68481296546
matrix_multiply,icc,mpx,1,None,,,54793333660,1,9.582139859,19018313225,73811646885
string_match,icc,mpx,1,None,,,68762784942,1,7.389226313,84553883,68847338825
word_count,icc,mpx,1,None,,,94422974863,7,23.221264002,123102904,94546077767
linear_regression,icc,mpx,1,None,,,5970870163,1,0.45291468,77073359,6047943522
histogram,icc,mpx,1,None,,,8441374591,1,1.065834781,194995695,8636370286
kmeans,icc,mpx,1,None,,,336196028448,3,29.239566884,38993518,336235021966
pca,icc,mpx_only_write,1,None,,,54829897492,2,10.644082381,58965738,54888863230
matrix_multiply,icc,mpx_only_write,1,None,,,44668327627,1,8.210477789,19016792470,63685120097
string_match,icc,mpx_only_write,1,None,,,48932315137,1,4.156941389,81024743,49013339880
word_count,icc,mpx_only_write,1,None,,,73153429011,7,21.467808818,121055029,73274484040
linear_regression,icc,mpx_only_write,1,None,,,5428411953,1,0.383142014,76964668,5505376621
histogram,icc,mpx_only_write,1,None,,,10316370302,1,0.951834439,194882545,10511252847
kmeans,icc,mpx_only_write,1,None,,,279252856725,3,18.697316983,27504954,279280361679
pca,icc,mpx_no_narrow_bounds,1,None,,,68422217352,2,10.541246747,59156379,68481373731
matrix_multiply,icc,mpx_no_narrow_bounds,1,None,,,54793333653,1,9.611924836,19018310726,73811644379
string_match,icc,mpx_no_narrow_bounds,1,None,,,68762784911,1,7.386054845,84533036,68847317947
word_count,icc,mpx_no_narrow_bounds,1,None,,,94422974951,7,23.18065771,123034125,94546009076
linear_regression,icc,mpx_no_narrow_bounds,1,None,,,5970870295,1,0.450656451,77029517,6047899812
histogram,icc,mpx_no_narrow_bounds,1,None,,,8441374427,1,1.067901108,194993696,8636368123
kmeans,icc,mpx_no_narrow_bounds,1,None,,,336196028569,3,29.198755579,38956220,336234984789
pca,icc,mpx_no_narrow_bounds_only_write,1,None,,,54829897574,2,10.631864286,58793233,54888690807
matrix_multiply,icc,mpx_no_narrow_bounds_only_write,1,None,,,44668327290,1,8.221586737,19016820006,63685147296
string_match,icc,mpx_no_narrow_bounds_only_write,1,None,,,48932315400,1,4.158868227,81004477,49013319877
word_count,icc,mpx_no_narrow_bounds_only_write,1,None,,,73153429126,7,21.582482876,120729526,73274158652
linear_regression,icc,mpx_no_narrow_bounds_only_write,1,None,,,5428411695,1,0.382854516,76947267,5505358962
histogram,icc,mpx_no_narrow_bounds_only_write,1,None,,,10316370306,1,0.952229187,194841880,10511212186
kmeans,icc,mpx_no_narrow_bounds_only_write,1,None,,,279252856516,3,18.698748435,27551688,279280408204
