name,compiler,type,threads,input,dtlb_loads,major_faults,mpxerrors,minor_faults,dtlb_store_misses,branch_misses,branch_instructions,dtlb_load_misses,mpxbtnum,time,cycles,dtlb_stores,sgxmem,instructions,sgxtime
string_match,clang,native,4,native,4073032711,0,,8465,575,54291841,6998731004,51918,,0.874390919,11653560136,5093349565,,31422400793,
string_match,clang,native,8,native,4098784017,0,,8463,592,56615726,6981713724,78937,,0.648026183,17237808497,5103706677,,31252413150,
pca,clang,native,2,native,7018514091,0,,17906,4427089,4948531,1877101078,257204,,2.679003254,19728349992,100613608,,47605977448,
pca,clang,native,4,native,6957622249,0,,18979,4469479,4971725,1886541821,1495199,,1.609210712,22126790851,99769474,,47974655209,
pca,clang,native,8,native,6970751560,0,,22644,4540197,4976887,1879183698,3076906,,1.315010756,34943961932,103848512,,47962536733,
word_count,gcc,mpx,2,native,12886715216,0,,42704,406538,218712135,4903665825,16793182,,6.299459299,46441384590,9215956264,,44134009528,
word_count,gcc,mpx,4,native,13044612690,0,,43437,491157,213800541,4949698355,21749592,,6.141277462,59330425605,9128465445,,43875200427,
word_count,gcc,mpx,8,native,13142496010,0,,44914,940844,220344929,5025745959,51048776,,10.064795503,129722796416,9182785572,,44138507194,
kmeans,gcc,mpx,2,native,19765543221,0,,3346,14452,56415153,6730768439,1548691,,6.375094365,35372462486,39787725,,76688365353,
kmeans,gcc,mpx,4,native,20428226390,0,,3100,17004,55362285,6736072838,853317,,3.558224353,31479334426,41591194,,69288007904,
kmeans,gcc,mpx,8,native,23181566678,0,,3344,8788,62702140,6835274678,16294574,,3.121082739,67973397918,47769422,,79307190485,
histogram,gcc,mpx,2,native,7045156894,0,,21652,1183,304477,508269344,76938,,2.309582112,16899241278,1443686123,,28419370710,
histogram,gcc,mpx,4,native,7106336897,0,,21647,912,317896,503954461,78426,,1.346262338,17566288225,1438533820,,28595249519,
histogram,gcc,mpx,8,native,7092201205,0,,21653,738,291386,514985487,77694,,1.36742237,33829119116,1433886022,,28732661216,
linear_regression,gcc,mpx,2,native,10326688152,0,,8457,392,172303,285560964,47356,,2.647723482,19573390913,1728731163,,32213780352,
linear_regression,gcc,mpx,4,native,10411954767,0,,8459,293,209446,288882216,62788,,2.288894355,31521637297,1649707596,,30961836782,
linear_regression,gcc,mpx,8,native,10071928191,0,,8457,314,258696,295557649,73625,,4.668033682,116627971116,1644429534,,32622237129,
matrix_multiply,gcc,mpx,2,native,19591810002,0,,1151,213058,2527134,7099268629,779711985,,8.235688234,50218780672,3872854441,,76792373824,
matrix_multiply,gcc,mpx,4,native,19616110476,0,,1367,446004,2525260,7130129988,1136477281,,5.821619264,49666737558,3838930630,,76720017419,
matrix_multiply,gcc,mpx,8,native,19633693448,0,,1602,681842,2552369,7127534176,3363029691,,6.284394732,101813512932,3854247057,,76826975086,
string_match,gcc,mpx,2,native,9999521917,0,,8478,676,64676804,9713869684,59897,,2.905928884,21698847279,7539326530,,51540548653,
string_match,gcc,mpx,4,native,10013838131,0,,8475,581,67309360,9725054105,56806,,1.574905233,21628090323,7540455145,,51526943417,
