"name","compiler","type","input","threads","num_clients","tput","lat"
"bin/memcached","icc","native",32,1,32,177288,179
"bin/memcached","icc","native",64,1,64,259745,245
"bin/memcached","icc","native",128,1,128,280042,456
"bin/memcached","icc","native",192,1,192,281340,681
"bin/memcached","icc","native",256,1,256,281404,909
"bin/memcached","icc","native",320,1,320,281326,1136
"bin/memcached","icc","native",384,1,384,281345,1364
"bin/memcached","icc","native",448,1,448,280974,1594
"bin/memcached","icc","native",512,1,512,281567,1817
"bin/memcached","icc","native",32,1,32,175815,181
"bin/memcached","icc","native",64,1,64,259891,245
"bin/memcached","icc","native",128,1,128,280094,456
"bin/memcached","icc","native",192,1,192,281361,681
"bin/memcached","icc","native",256,1,256,281181,909
"bin/memcached","icc","native",320,1,320,281230,1137
"bin/memcached","icc","native",384,1,384,281531,1363
"bin/memcached","icc","native",448,1,448,281302,1592
"bin/memcached","icc","native",512,1,512,281507,1818
"bin/memcached","icc","native",32,1,32,175898,181
"bin/memcached","icc","native",64,1,64,259942,245
"bin/memcached","icc","native",128,1,128,280490,455
"bin/memcached","icc","native",192,1,192,281350,681
"bin/memcached","icc","native",256,1,256,281221,909
"bin/memcached","icc","native",320,1,320,281400,1136
"bin/memcached","icc","native",384,1,384,281476,1363
"bin/memcached","icc","native",448,1,448,281432,1591
"bin/memcached","icc","native",512,1,512,281763,1816
"bin/memcached","icc","native",32,1,32,177252,179
"bin/memcached","icc","native",64,1,64,260553,245
"bin/memcached","icc","native",128,1,128,280140,456
"bin/memcached","icc","native",192,1,192,280894,682
"bin/memcached","icc","native",256,1,256,281278,909
"bin/memcached","icc","native",320,1,320,281722,1135
"bin/memcached","icc","native",384,1,384,281535,1363
"bin/memcached","icc","native",448,1,448,281353,1591
"bin/memcached","icc","native",512,1,512,281646,1817
"bin/memcached","icc","native",32,1,32,176274,180
"bin/memcached","icc","native",64,1,64,259722,245
"bin/memcached","icc","native",128,1,128,280596,455
"bin/memcached","icc","native",192,1,192,281594,681
"bin/memcached","icc","native",256,1,256,281170,909
"bin/memcached","icc","native",320,1,320,281474,1136
"bin/memcached","icc","native",384,1,384,281444,1363
"bin/memcached","icc","native",448,1,448,281445,1591
"bin/memcached","icc","native",512,1,512,281661,1817
"bin/memcached","icc","native",32,1,32,174018,183
"bin/memcached","icc","native",64,1,64,259446,246
"bin/memcached","icc","native",128,1,128,280027,456
"bin/memcached","icc","native",192,1,192,281215,682
"bin/memcached","icc","native",256,1,256,281403,909
"bin/memcached","icc","native",320,1,320,281313,1136
"bin/memcached","icc","native",384,1,384,281764,1362
"bin/memcached","icc","native",448,1,448,281574,1590
"bin/memcached","icc","native",512,1,512,281359,1819
"bin/memcached","clang","native",32,1,32,176146,181
"bin/memcached","clang","native",64,1,64,259998,245
"bin/memcached","clang","native",128,1,128,280524,455
"bin/memcached","clang","native",192,1,192,281140,682
"bin/memcached","clang","native",256,1,256,281003,910
"bin/memcached","clang","native",320,1,320,281268,1137
"bin/memcached","clang","native",384,1,384,281552,1363
"bin/memcached","clang","native",448,1,448,281394,1591
"bin/memcached","clang","native",512,1,512,281579,1817
"bin/memcached","clang","native",32,1,32,177156,180
"bin/memcached","clang","native",64,1,64,260071,245
"bin/memcached","clang","native",128,1,128,280461,455
"bin/memcached","clang","native",192,1,192,281143,682
"bin/memcached","clang","native",256,1,256,280513,912
"bin/memcached","clang","native",320,1,320,281385,1136
"bin/memcached","clang","native",384,1,384,281522,1363
"bin/memcached","clang","native",448,1,448,281536,1590
"bin/memcached","clang","native",512,1,512,281968,1815
"bin/memcached","clang","native",32,1,32,177509,179
"bin/memcached","clang","native",64,1,64,259503,246
"bin/memcached","clang","native",128,1,128,280306,456
"bin/memcached","clang","native",192,1,192,281392,681
"bin/memcached","clang","native",256,1,256,281198,909
"bin/memcached","clang","native",320,1,320,281235,1137
"bin/memcached","clang","native",384,1,384,281522,1363
"bin/memcached","clang","native",448,1,448,281705,1589
"bin/memcached","clang","native",512,1,512,281358,1819
"bin/memcached","clang","native",32,1,32,177460,179
"bin/memcached","clang","native",64,1,64,260218,245
"bin/memcached","clang","native",128,1,128,280338,456
"bin/memcached","clang","native",192,1,192,281087,682
"bin/memcached","clang","native",256,1,256,281319,909
"bin/memcached","clang","native",320,1,320,281556,1136
"bin/memcached","clang","native",384,1,384,281661,1362
"bin/memcached","clang","native",448,1,448,281418,1591
"bin/memcached","clang","native",512,1,512,281466,1818
"bin/memcached","clang","native",32,1,32,176360,180
"bin/memcached","clang","native",64,1,64,260223,245
"bin/memcached","clang","native",128,1,128,280574,455
"bin/memcached","clang","native",192,1,192,280952,682
"bin/memcached","clang","native",256,1,256,281286,909
"bin/memcached","clang","native",320,1,320,281380,1136
"bin/memcached","clang","native",384,1,384,281259,1364
"bin/memcached","clang","native",448,1,448,281864,1588
"bin/memcached","clang","native",512,1,512,281500,1818
"bin/memcached","clang","native",32,1,32,176481,180
"bin/memcached","clang","native",64,1,64,259919,245
"bin/memcached","clang","native",128,1,128,280525,455
"bin/memcached","clang","native",192,1,192,281212,682
"bin/memcached","clang","native",256,1,256,281216,909
"bin/memcached","clang","native",320,1,320,281274,1137
"bin/memcached","clang","native",384,1,384,281080,1365
"bin/memcached","clang","native",448,1,448,281663,1590
"bin/memcached","clang","native",512,1,512,281426,1818
"bin/memcached","clang","native",32,1,32,176230,181
"bin/memcached","clang","native",64,1,64,260043,245
"bin/memcached","clang","native",128,1,128,280476,455
"bin/memcached","clang","native",192,1,192,280664,683
"bin/memcached","clang","native",256,1,256,281288,909
"bin/memcached","clang","native",320,1,320,281501,1136
"bin/memcached","clang","native",384,1,384,281701,1362
"bin/memcached","clang","native",448,1,448,281588,1590
"bin/memcached","clang","native",512,1,512,281403,1819
"bin/memcached","clang","native",32,1,32,174991,182
"bin/memcached","clang","native",64,1,64,260054,245
"bin/memcached","clang","native",128,1,128,280290,456
"bin/memcached","clang","native",192,1,192,281199,682
"bin/memcached","clang","native",256,1,256,281208,909
"bin/memcached","clang","native",320,1,320,281452,1136
"bin/memcached","clang","native",384,1,384,281267,1364
"bin/memcached","clang","native",448,1,448,281460,1591
"bin/memcached","clang","native",512,1,512,281373,1819
"bin/memcached","clang","native",32,1,32,177750,179
"bin/memcached","clang","native",64,1,64,260056,245
"bin/memcached","clang","native",128,1,128,280382,455
"bin/memcached","clang","native",192,1,192,281132,682
"bin/memcached","clang","native",256,1,256,281252,909
"bin/memcached","clang","native",320,1,320,281449,1136
"bin/memcached","clang","native",384,1,384,281542,1363
"bin/memcached","clang","native",448,1,448,281424,1591
"bin/memcached","clang","native",512,1,512,281570,1817
"bin/memcached","clang","native",32,1,32,174619,182
"bin/memcached","clang","native",64,1,64,258974,246
"bin/memcached","clang","native",128,1,128,280283,456
"bin/memcached","clang","native",192,1,192,281325,681
"bin/memcached","clang","native",256,1,256,281500,908
"bin/memcached","clang","native",320,1,320,281235,1137
"bin/memcached","clang","native",384,1,384,281781,1362
"bin/memcached","clang","native",448,1,448,281418,1591
"bin/memcached","clang","native",512,1,512,281427,1818
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,101864,313
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,125678,508
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,122182,1047
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,131241,1462
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,128127,1997
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,118455,2701
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,133505,2876
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,131429,3409
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,164241,3117
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,106371,300
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,123313,518
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,160935,794
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,122589,1565
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,127417,2008
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,155958,2051
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,133400,2878
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,131287,3412
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,161591,3168
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,107396,297
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,122776,520
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,142734,896
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,123858,1549
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,148590,1722
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,130215,2457
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,124124,3093
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,161063,2781
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,129382,3958
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,99638,320
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,129676,493
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,128096,998
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,122374,1568
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,126939,2016
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,130516,2451
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,131579,2918
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,127954,3501
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,143534,3567
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,114490,278
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,127464,501
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,123285,1037
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,122728,1564
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,122317,2092
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,128908,2482
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,154136,2491
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,135777,3299
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,127091,4029
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,126897,251
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,120408,530
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,120933,1057
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,136984,1401
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,129429,1977
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,145375,2201
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,128788,2981
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,136148,3290
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,155949,3283
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,107807,296
