name,compiler,type,threads,input,bndcl,bndldx,mpxbtnum,bndcu,memory_writes,memory_reads,bndstx,bndmovreg,bndmovmem,mpxerrors,bndmk,instructions
astar,gcc,mpx_no_narrow_bounds,1,native,275045600240,60349217945,,275045600240,122121478409,398202982202,1149818829,14043335624,33515244833,,1751311,1778791282136
astar,gcc,mpx_no_narrow_bounds_only_write,1,native,22272660380,14470267124,,22272660380,61187791803,225980885635,1149818829,6501642199,16716986233,,1524527,816794054818
astar,icc,mpx_no_narrow_bounds,1,native,107358448400,30658775294,,102290849616,48751040980,188919003478,573434983,27768767,22742911758,,10955176,889104200159
astar,icc,mpx_no_narrow_bounds_only_write,1,native,17968445750,8599842377,,17958161100,53762817542,190168498869,573405973,27716077,20178048166,,10889523,691057826069
