name,compiler,type,threads,input,bndstx,bndcu,memory_reads,bndmovmem,mpxerrors,memory_writes,bndmovreg,bndmk,mpxbtnum,bndldx,instructions,bndcl
soplex,gcc,mpx_no_narrow_bounds,1,native,354633795,30912977868,34888914704,3381126480,,17585389635,260130936,35642688,,6334907171,202761327881,30912993925
soplex,gcc,mpx_no_narrow_bounds_only_write,1,native,354689725,6064114075,26209927267,255839206,,14445421327,119996785,32615251,,3096114515,114637946206,6064130132
soplex,icc,mpx_no_narrow_bounds,1,native,448790977,18000440133,24808610462,4117996697,,13907009035,121493374,22395352,,1859455363,127803993349,14033058039
soplex,icc,mpx_no_narrow_bounds_only_write,1,native,374941361,4967665339,24588740510,824115022,,13812760894,43522803,23037518,,1359709581,99843327708,4567099849
