name,compiler,type,threads,input,dtlb_store_misses,mpxbtnum,sgxtime,tput,instructions,branch_instructions,dtlb_stores,num_clients,cycles,branch_misses,major_faults,dtlb_load_misses,time,mpxerrors,lat,dtlb_loads,minor_faults,sgxmem
bin/memcached,gcc,native,1,448,,,,281538.0,,,,448,,,,,,,1590.0,,,
bin/memcached,gcc,native,1,512,,,,281418.0,,,,512,,,,,,,1818.0,,,
bin/memcached,gcc,native,1,32,,,,181550.0,,,,32,,,,,,,175.0,,,
bin/memcached,gcc,native,1,64,,,,260721.0,,,,64,,,,,,,244.0,,,
bin/memcached,gcc,native,1,128,,,,280096.0,,,,128,,,,,,,456.0,,,
bin/memcached,gcc,native,1,192,,,,280847.0,,,,192,,,,,,,683.0,,,
bin/memcached,gcc,native,1,256,,,,281608.0,,,,256,,,,,,,908.0,,,
bin/memcached,gcc,native,1,320,,,,281090.0,,,,320,,,,,,,1137.0,,,
bin/memcached,gcc,native,1,384,,,,281455.0,,,,384,,,,,,,1363.0,,,
bin/memcached,gcc,native,1,448,,,,281231.0,,,,448,,,,,,,1592.0,,,
bin/memcached,gcc,native,1,512,,,,281713.0,,,,512,,,,,,,1817.0,,,
bin/memcached,gcc,native,1,32,,,,177263.0,,,,32,,,,,,,179.0,,,
bin/memcached,gcc,native,1,64,,,,260607.0,,,,64,,,,,,,245.0,,,
bin/memcached,gcc,native,1,128,,,,280445.0,,,,128,,,,,,,455.0,,,
bin/memcached,gcc,native,1,192,,,,281057.0,,,,192,,,,,,,682.0,,,
bin/memcached,gcc,native,1,256,,,,281234.0,,,,256,,,,,,,909.0,,,
bin/memcached,gcc,native,1,320,,,,281326.0,,,,320,,,,,,,1136.0,,,
bin/memcached,gcc,native,1,384,,,,281500.0,,,,384,,,,,,,1363.0,,,
bin/memcached,gcc,native,1,448,,,,281534.0,,,,448,,,,,,,1590.0,,,
bin/memcached,gcc,native,1,512,,,,281362.0,,,,512,,,,,,,1819.0,,,
bin/memcached,icc,native,1,32,,,,178434.0,,,,32,,,,,,,178.0,,,
bin/memcached,icc,native,1,64,,,,260053.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280395.0,,,,128,,,,,,,455.0,,,
bin/memcached,icc,native,1,192,,,,280767.0,,,,192,,,,,,,683.0,,,
bin/memcached,icc,native,1,256,,,,280915.0,,,,256,,,,,,,910.0,,,
bin/memcached,icc,native,1,320,,,,281492.0,,,,320,,,,,,,1136.0,,,
bin/memcached,icc,native,1,384,,,,281346.0,,,,384,,,,,,,1364.0,,,
bin/memcached,icc,native,1,448,,,,281619.0,,,,448,,,,,,,1590.0,,,
bin/memcached,icc,native,1,512,,,,281619.0,,,,512,,,,,,,1817.0,,,
bin/memcached,icc,native,1,32,,,,178252.0,,,,32,,,,,,,178.0,,,
bin/memcached,icc,native,1,64,,,,259693.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280622.0,,,,128,,,,,,,455.0,,,
bin/memcached,icc,native,1,192,,,,281292.0,,,,192,,,,,,,682.0,,,
bin/memcached,icc,native,1,256,,,,281165.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281234.0,,,,320,,,,,,,1137.0,,,
bin/memcached,icc,native,1,384,,,,281488.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281545.0,,,,448,,,,,,,1590.0,,,
bin/memcached,icc,native,1,512,,,,281787.0,,,,512,,,,,,,1816.0,,,
bin/memcached,icc,native,1,32,,,,176929.0,,,,32,,,,,,,180.0,,,
bin/memcached,icc,native,1,64,,,,260086.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280427.0,,,,128,,,,,,,455.0,,,
bin/memcached,icc,native,1,192,,,,281223.0,,,,192,,,,,,,682.0,,,
bin/memcached,icc,native,1,256,,,,281501.0,,,,256,,,,,,,908.0,,,
bin/memcached,icc,native,1,320,,,,280870.0,,,,320,,,,,,,1138.0,,,
bin/memcached,icc,native,1,384,,,,281564.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281417.0,,,,448,,,,,,,1591.0,,,
bin/memcached,icc,native,1,512,,,,281596.0,,,,512,,,,,,,1817.0,,,
bin/memcached,icc,native,1,32,,,,177126.0,,,,32,,,,,,,180.0,,,
bin/memcached,icc,native,1,64,,,,259994.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280518.0,,,,128,,,,,,,455.0,,,
bin/memcached,icc,native,1,192,,,,280961.0,,,,192,,,,,,,682.0,,,
bin/memcached,icc,native,1,256,,,,281253.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281599.0,,,,320,,,,,,,1135.0,,,
bin/memcached,icc,native,1,384,,,,281447.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281298.0,,,,448,,,,,,,1592.0,,,
bin/memcached,icc,native,1,512,,,,281684.0,,,,512,,,,,,,1817.0,,,
bin/memcached,icc,native,1,32,,,,177288.0,,,,32,,,,,,,179.0,,,
bin/memcached,icc,native,1,64,,,,259745.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280042.0,,,,128,,,,,,,456.0,,,
bin/memcached,icc,native,1,192,,,,281340.0,,,,192,,,,,,,681.0,,,
