name,gcc-native,clang-asan,icc-mpx,gcc-mpx,safecode-enabled,softbound-enabled
Phoenix,1.845531536666973,3.6333882257326096,2.173315936502723,1.8141775947703471,2.4532558989105353,3.3744784588826016
PARSEC,1.5030984019480826,2.366685186169788,1.514249530957708,1.564389032728875,1.5214718872945234,2.5676822051036496
SPEC,1.4812885614074294,2.3682459909095064,1.4887191985905683,1.3862457990295187,1.7120081310929627,1.9324888017519009
smatch,1.6916410082981075,2.3888638661830477,2.425596346200272,2.34031827472183,1.670344473855308,2.5361136131846402
matrixmul,2.4675032309389024,3.218307753809621,2.034357849420177,1.7180559090565195,2.064477915241195,3.413488407226398
wordcnt,0.87514314008012,3.7787279313829116,1.1039443944689,0.8930997742322433,1.596921492655359,1.5572464783388447
blackscholes,0.956488584910371,1.0818040896277146,1.3309536027901094,1.0101067331689741,1.0183808104751138,
facesim,1.4598833246651959,3.0496679720157744,2.0953205837933297,1.896415525391633,,
swaptions,1.345728362137006,2.662711853687992,2.238040098124231,1.6379597782619721,2.2158166091343987,2.5676822051036496
bz2,2.154271265497879,3.1912645668146564,2.1290474041147123,2.100035143221283,2.1474077396836595,3.047141499142161
mcf,0.5919234165680463,1.2480314937764265,0.46966910321724686,0.5872664352883239,0.7178291847263828,1.3263120460893327
perlbmk,3.1710571444651308,1.8810174754505837,1.9564675342130604,,2.6284778400385074,
