name,clang-asan,icc-mpx,gcc-mpx,safecode-enabled,softbound-enabled
Phoenix,1.3855209563033013,1.3704497532532394,1.194389016698661,1.1964347350108762,1.3012429220084663
PARSEC,3.64558169113015,2.5482623900820025,2.273489878173296,1.3674836885789101,45.73134698944755
SPEC,4.27895258438244,2.634357384057613,2.4814660950517338,1.1499862181802951,2.908547377656609
smatch,1.027765152174028,1.0044219209907765,1.005132553138867,1.001865637780413,1.010626109328455
matrixmul,1.6117456947766988,1.3366992742189965,1.1814555068310983,1.0435555555555556,1.1299078277617276
wordcnt,1.151972823129752,1.198148924126473,1.1922768769386825,0.9802779616148247,1.1725841121328198
blackscholes,1.0978312749360688,1.0076415240467695,1.003804956320427,1.001046273050504,
facesim,1.216098891045997,1.152788442920058,1.1558461764606112,,
swaptions,58.16269139266761,3.4365826119683858,3.1958637469586377,1.0800124146492862,45.73134698944755
bz2,1.3179671535608872,1.0519940435696251,3.4325952526468035,1.0039546911862562,2.311615778529999
mcf,1.1346828349308045,4.991551189740874,4.9990632511445785,1.0003658396100503,5.004650564197707
perlbmk,3.144119986792428,3.8328607422460013,,1.9760079501118721,

