name,clang-asan,icc-mpx,gcc-mpx,safecode-enabled,softbound-enabled
Phoenix,3.009229104158177,1.733268042254861,2.9448856147485043,1.1536952338011408,4.355206757928162
PARSEC,2.291105288138484,1.327286210126552,2.313216554586188,4.06763295495578,3.5117125325166154
SPEC,2.6240997923360396,1.4970447154383189,2.5336080546462085,3.7280115958244022,3.3163489775463577
smatch,1.5511213410319296,2.9148349830045617,1.786440950106281,0.9971336623932189,1.8709739095339004
matrixmul,1.9577906605173752,1.377853902145317,2.723531900832574,1.0038835797297492,2.617423356136257
wordcnt,17.072654199676016,3.9792687632772368,2.3100797524271472,2.6888323686860356,39.921699840818206
blackscholes,1.166203852450233,1.0473956345073179,1.0563974197513661,1.071717675670439,
facesim,3.24216504562235,1.243682346258926,3.3936149606933803,,
swaptions,1.7503933451021625,1.4688588593033036,1.6011319257754941,19.93127724187286,3.5117125325166154
bz2,2.4263416574167427,1.347164073827916,2.1695429508502992,1.0155661086779804,3.210988623493186
mcf,2.798578536208102,1.7827001268322447,2.764100912468732,1.7226518973771994,6.2578334560606175
perlbmk,3.0209850786480312,1.5807945885219743,,22.898725824040753,
