name,gcc-native,clang-asan,icc-mpx,gcc-mpx
Phoenix,1.8801401360854533,1.867282876570769,1.5564082164814999,1.3320296701948606
PARSEC,2.1036002072807043,1.8622870749468337,1.799550691277351,1.8706892121981464
linearreg,2.1545889626954837,1.955826483441585,1.7348419779982949,0.6090966202531053
smatch,2.4629261447026978,1.6763501675615238,2.1515078692488054,2.1009119751801464
matrixmul,1.0431242048073401,1.4568896944334564,0.9551485985860212,1.2974644652026555
wordcnt,2.038994272401065,1.8170770183470726,0.9050764884090662,0.650620353445464
vips,2.169943158982261,2.005663852106307,,2.037270248025975
streamcluster,2.5668135985321143,2.6916003318325696,1.8076715217801966,1.931313510109707
raytrace,1.9245764210614533,1.0848391584293864,,1.7273085902232372
swaptions,3.35436198060685,2.2383784545352,2.158841955855485,2.52780631978912

