name,clang-asan,icc-mpx,gcc-mpx,safecode-enabled,softbound-enabled
Phoenix,1.6070161539330694,1.567542592864994,3.010195828956199,1.0540860352670072,2.6847965099238973
PARSEC,1.4368505352146672,1.257109128770816,2.04515650370752,2.8246339212471803,1.839843221712036
SPEC,1.6206981913763496,1.6159922599276109,2.5856728349903197,3.2940793109120907,2.0310937843361994
smatch,1.2445695915600583,2.46014662873473,1.290610178927506,1.0198838974251672,1.2319211550816318
matrixmul,1.2036705292643886,1.2661752214250195,3.908880732953841,0.9961699642614066,1.5769996305235792
wordcnt,3.3127796314832514,2.9637911621686306,2.386870287484506,1.1918716631259356,23.235535767469447
blackscholes,1.0307752142125206,1.0048564429417663,0.9991285428030989,1.0328657846972757,
facesim,2.098881864792203,1.2694847728916077,2.6106814407900916,,
swaptions,0.9223007093215748,1.6504147890580119,1.3154608744674554,12.601033738345945,1.839843221712036
bz2,1.656354923116338,1.38644466769375,2.2252781113463436,0.9983728215222897,2.2439037639156867
mcf,1.0937623504963496,2.3352805858047887,2.442123257970787,1.2903597381833207,2.9891451750653264
perlbmk,5.6458082585241955,2.5537612324877967,,28.807990974804845,
