name,compiler,type,threads,input,dtlb_store_misses,instructions,dtlb_load_misses,branch_instructions,dtlb_loads,mpxbtnum,branch_misses,mpxerrors,time,cycles,major_faults,minor_faults,dtlb_stores
dedup,gcc,native,1,native,3098684,128478209549,28765501,15985783802,37669312039,,707825802,,19.748677425,72175710236,0,396590,16108920365
dedup,gcc,native,1,native,3062205,128323910052,28516630,15964154158,37720446592,,707470650,,20.401463596,72230173747,0,396210,16098720470
dedup,gcc,native,1,native,3017120,128318430138,28487902,15960825104,37713342443,,707311611,,20.884644914,72200734176,0,396354,16137476310
dedup,gcc,native,1,native,3071954,128204469835,28429347,15946416758,37727284378,,708797903,,20.300143315,72285544945,0,396780,16115003941
dedup,gcc,native,1,native,3072006,128300435678,28477861,15944141978,37708608386,,708016505,,19.775492651,72355387366,0,396262,16120538484
dedup,gcc,native,1,native,3156144,128463112783,29033485,15993573141,37680523932,,708372348,,19.789485393,72387312634,0,396124,16110947301
dedup,gcc,native,1,native,3113733,128351843063,28719949,15983578751,37745345575,,708747162,,19.811500645,72426740737,0,396226,16085352649
dedup,gcc,native,1,native,3227144,128369909957,28923183,15978184130,37657992748,,707608223,,19.824275537,72417898450,0,396778,16150513700
dedup,gcc,native,1,native,3192459,128386735821,29051253,15978187929,37656452902,,708102545,,20.110936632,72490416753,0,395985,16150000876
facesim,gcc,native,1,native,3205160,29624210536,264359,2409558596,8461144108,,49931125,,5.371716981,20290745806,0,618346,3777981424
facesim,gcc,native,1,native,3215423,29648836490,223938,2410961777,8455384091,,50783805,,5.355224931,20272569468,0,617077,3776536223
facesim,gcc,native,1,native,3294351,29619028828,259802,2407297076,8452677365,,50358615,,5.357346234,20327669475,0,617756,3775773799
facesim,gcc,native,1,native,3266748,29753535293,226545,2441976503,8471982850,,50954792,,5.353538847,20287257340,0,617901,3732372192
facesim,gcc,native,1,native,3094495,29671207554,237113,2418329000,8465699792,,49411596,,5.38483148,20339421125,0,617285,3756436426
facesim,gcc,native,1,native,3201156,29701448384,264142,2394748120,8436669257,,50755601,,5.360607176,20344223570,0,617521,3799251772
facesim,gcc,native,1,native,3180706,29689672266,241083,2435507379,8471460919,,50760512,,5.355570328,20291354370,0,616356,3738558154
facesim,gcc,native,1,native,3259450,29619069179,237813,2422129093,8473339313,,50897636,,5.359482104,20340441176,0,618363,3751965533
facesim,gcc,native,1,native,3203398,29629018605,258202,2410938657,8450881663,,50887869,,5.361037366,20337659609,0,618062,3759991106
facesim,gcc,native,1,native,3252230,29670131178,223023,2398548023,8448805745,,50823663,,5.363076775,20353497083,0,617683,3786390373
bodytrack,gcc,native,1,native,788604,755541033746,247807,65109091920,146407238567,,529155856,,89.700335328,333953528539,0,129405,40183543656
bodytrack,gcc,native,1,native,785428,756172095730,243191,64945263188,146007922427,,545805557,,88.031283406,334131386970,0,129403,40147260893
bodytrack,gcc,native,1,native,803844,754722240543,239669,64976993653,146216195481,,541168885,,88.002125671,334045930354,0,129405,40092404627
bodytrack,gcc,native,1,native,739102,754133762294,233245,65004184878,146118850877,,558378825,,87.896488075,333649669138,0,129403,39946615515
bodytrack,gcc,native,1,native,762099,754824164473,237057,65012567607,146061538645,,548830793,,87.889669037,333624763570,0,129405,40062082301
bodytrack,gcc,native,1,native,788681,753837800402,237824,65010605469,146394677322,,529115522,,87.98272982,333955674029,0,129407,40079230994
bodytrack,gcc,native,1,native,676691,753432162300,189833,65120027307,146343619319,,544158804,,87.935213751,333762219630,0,129404,39935786264
bodytrack,gcc,native,1,native,759299,755342770975,243082,64993327410,146048709563,,548920467,,87.956680794,333885471643,0,129406,40081548722
bodytrack,gcc,native,1,native,727481,752649120793,233963,65083767807,146242485537,,546596358,,88.055326699,334255684071,0,129403,39921891901
bodytrack,gcc,native,1,native,767405,755191219915,243397,64996298314,146134979943,,544614125,,88.16132988,334576873297,0,129405,40036530568
streamcluster,gcc,native,1,native,156654,1509587035162,1874623,222050771928,428786971155,,1801932842,,361.988476502,1126556368157,0,3255,3193766296
streamcluster,gcc,native,1,native,18494,1509689466471,55023,221988366950,428774419866,,1801057945,,361.678754543,1126665955059,0,2745,3177575377
streamcluster,gcc,native,1,native,18692,1509472447176,35130,222004903362,428788711818,,1801246797,,361.940714834,1126759670414,0,2744,3214308406
streamcluster,gcc,native,1,native,24277,1509503674046,60865,222035124449,428812748878,,1801591321,,361.484750059,1126359118275,0,2743,3192714587
streamcluster,gcc,native,1,native,12300,1509696084469,49886,222016687831,428781700736,,1801850573,,361.739448521,1126331369247,0,2743,3232335380
streamcluster,gcc,native,1,native,15536,1509599189720,26547,222000306928,428773841063,,1801255895,,361.439958383,1126961493044,0,2749,3193616960
streamcluster,gcc,native,1,native,21154,1509528264005,46705,222051058593,428776486241,,1801516643,,361.816154644,1126553491387,0,2741,3198772371
streamcluster,gcc,native,1,native,12314,1509570943358,32666,222055959068,428782725369,,1801287576,,361.847556397,1126560428235,0,2744,3218778854
streamcluster,gcc,native,1,native,18328,1509585684051,50466,222042521000,428745981479,,1800809099,,361.171836154,1128050135561,0,2745,3229212563
streamcluster,gcc,native,1,native,10688,1509569019506,16044,221992473373,428777493255,,1801823896,,361.008816666,1128163451051,0,2741,3204274920
x264,gcc,native,1,native,1336818,1585008746668,4214876,80827223148,399506333755,,3008412085,,144.286253472,543795546226,0,8449,135409706512
x264,gcc,native,1,native,538868,1584440422349,1466315,80696173217,399212529709,,3007153773,,142.6129666,541144708438,0,7438,135316053359
x264,gcc,native,1,native,1424224,1584250253885,4972770,80681849574,399186606999,,3007781196,,142.872627551,542230119302,0,8962,135314765393
x264,gcc,native,1,native,728403,1584374145947,2148888,80675672039,399237667313,,3006619678,,143.05632454,542854820781,0,6871,135298859033
x264,gcc,native,1,native,946516,1584140668781,3276232,80684817773,399281372390,,3005768865,,142.906890639,542374465314,0,7428,135291792490
x264,gcc,native,1,native,870546,1584310056982,3131348,80657485846,399211073323,,3006396732,,142.970381805,542485883334,0,6858,135296614137
x264,gcc,native,1,native,435643,1584073274333,1168298,80672259681,399347397740,,3009214005,,142.524604233,540844665071,0,8047,135299630324
x264,gcc,native,1,native,1017229,1584200206032,3829390,80665278527,399263524216,,3007153983,,142.960885298,542514210602,0,7939,135303922636
x264,gcc,native,1,native,651073,1584288133060,1716179,80674659454,399247671063,,3011730276,,142.666692802,541337063623,0,7438,135303416870
x264,gcc,native,1,native,1435055,1584113180292,5016370,80668795169,399251625487,,3008971359,,142.755204086,541780534210,0,8961,135321473706
fluidanimate,gcc,native,1,native,314479,1577911427055,160087,209065050548,381913300551,,10981524562,,206.908140992,783897188455,0,2858,39296598063
fluidanimate,gcc,native,1,native,579495,1576863792699,328374,208876278261,382097484504,,10977251124,,206.844453265,783876257251,0,2855,39193857349
fluidanimate,gcc,native,1,native,506327,1577166963298,293686,208855827861,382054211082,,10977896572,,206.785821712,783847173287,0,2855,39173946814
fluidanimate,gcc,native,1,native,610569,1576240888281,323493,208769000310,382252545108,,10972073458,,206.823359008,783831880797,0,2859,39089663157
fluidanimate,gcc,native,1,native,569433,1577194266329,356877,208787421651,381880864142,,10965495793,,206.829421455,783877271449,0,2857,39079219575
fluidanimate,gcc,native,1,native,564162,1576914063807,329194,208844715044,381983403266,,10972797149,,206.903748343,784016621703,0,2853,39152960364
