name,compiler,type,threads,input,bndldx,bndcl,bndstx,instructions,memory_writes,bndmovmem,mpxbtnum,memory_reads,mpxerrors,bndmovreg,bndmk,bndcu
namd,gcc,mpx_no_narrow_bounds,1,native,4246604713,243731865596,1881290,1725406625423,72497752162,26260920555,,299999756469,,28700265,2068577,243731865596
namd,gcc,mpx_no_narrow_bounds_only_write,1,native,26787057,38926420834,1881290,1222194293597,66344555302,865137063,,286958345749,,428073,2068703,38926420834
namd,icc,mpx_no_narrow_bounds,1,native,228228895,75179148882,2691401,1299276090983,61406637370,19006863124,,254857655478,,4358702,2544089,81099791078
namd,icc,mpx_no_narrow_bounds_only_write,1,native,3531411,15846485697,2411842,1145333655808,61373914614,385789765,,253425076389,,313,2544025,15846486905
