name,compiler,type,threads,input,some,total,notpossible,mpxbtnum,mpxerrors,ok,fail
ripe,gcc,mpx,1,ripe,0,3840,2990,,,41,809
ripe,gcc,mpx_no_narrow_bounds,1,ripe,0,3840,2990,,,41,809
